predict case 0 , predict result/given label= 0.239446/1
predict case 1 , predict result/given label= 0.553265/1
predict case 2 , predict result/given label= 0.398535/1
predict case 3 , predict result/given label= 0.102058/1
predict case 4 , predict result/given label= 0.895745/1
predict case 5 , predict result/given label= 0.809801/1
predict case 6 , predict result/given label= 0.423531/1
predict case 7 , predict result/given label= 0.467767/1
predict case 8 , predict result/given label= 0.209450/1
predict case 9 , predict result/given label= 0.072846/1
predict case 10 , predict result/given label= 0.464126/1
predict case 11 , predict result/given label= 0.908876/1
predict case 12 , predict result/given label= 0.186069/1
predict case 13 , predict result/given label= 0.668572/1
predict case 14 , predict result/given label= 0.858575/1
predict case 15 , predict result/given label= 0.903078/1
predict case 16 , predict result/given label= 0.465926/1
predict case 17 , predict result/given label= 0.420198/1
predict case 18 , predict result/given label= 0.686017/1
predict case 19 , predict result/given label= 0.072243/1
predict case 20 , predict result/given label= 0.696325/1
predict case 21 , predict result/given label= 0.636912/1
predict case 22 , predict result/given label= 0.506118/1
predict case 23 , predict result/given label= 0.355487/1
predict case 24 , predict result/given label= 0.918301/1
predict case 25 , predict result/given label= 0.624030/1
predict case 26 , predict result/given label= 0.299559/1
predict case 27 , predict result/given label= 0.200011/1
predict case 28 , predict result/given label= 0.758277/1
predict case 29 , predict result/given label= 0.062201/1
predict case 30 , predict result/given label= 0.899649/1
predict case 31 , predict result/given label= 0.486421/1
predict case 32 , predict result/given label= 0.098898/1
predict case 33 , predict result/given label= 0.389809/1
predict case 34 , predict result/given label= 0.895559/1
predict case 35 , predict result/given label= 0.809754/1
predict case 36 , predict result/given label= 0.425997/1
predict case 37 , predict result/given label= 0.680472/1
predict case 38 , predict result/given label= 0.810044/1
predict case 39 , predict result/given label= 0.423588/1
predict case 40 , predict result/given label= 0.556444/1
predict case 41 , predict result/given label= 0.921209/1
predict case 42 , predict result/given label= 0.696385/1
predict case 43 , predict result/given label= 0.760110/1
predict case 44 , predict result/given label= 0.364801/1
predict case 45 , predict result/given label= 0.899484/1
predict case 46 , predict result/given label= 0.899454/1
predict case 47 , predict result/given label= 0.199609/1
predict case 48 , predict result/given label= 0.071005/1
