predict case 0 , predict result/given label= 0.816865/1
predict case 1 , predict result/given label= 0.238889/1
predict case 2 , predict result/given label= 0.729943/1
predict case 3 , predict result/given label= 0.550852/1
predict case 4 , predict result/given label= 0.332984/1
predict case 5 , predict result/given label= 0.357696/1
predict case 6 , predict result/given label= 0.565854/1
predict case 7 , predict result/given label= 0.718629/1
predict case 8 , predict result/given label= 0.463221/1
predict case 9 , predict result/given label= 0.255016/1
predict case 10 , predict result/given label= 0.642916/1
predict case 11 , predict result/given label= 0.636824/1
predict case 12 , predict result/given label= 0.115452/1
predict case 13 , predict result/given label= 0.304868/1
predict case 14 , predict result/given label= 0.890492/1
predict case 15 , predict result/given label= 0.608481/1
predict case 16 , predict result/given label= 0.241937/1
predict case 17 , predict result/given label= 0.705068/1
predict case 18 , predict result/given label= 0.547594/1
predict case 19 , predict result/given label= 0.735913/1
predict case 20 , predict result/given label= 0.576397/1
predict case 21 , predict result/given label= 0.776964/1
predict case 22 , predict result/given label= 0.252635/1
predict case 23 , predict result/given label= 0.815447/1
predict case 24 , predict result/given label= 0.379170/1
predict case 25 , predict result/given label= 0.545695/1
predict case 26 , predict result/given label= 0.470026/1
predict case 27 , predict result/given label= 0.075047/1
predict case 28 , predict result/given label= 0.399907/1
predict case 29 , predict result/given label= 0.103975/1
predict case 30 , predict result/given label= 0.597984/1
predict case 31 , predict result/given label= 0.295706/1
predict case 32 , predict result/given label= 0.711536/1
predict case 33 , predict result/given label= 0.893322/1
predict case 34 , predict result/given label= 0.681408/1
predict case 35 , predict result/given label= 0.724143/1
predict case 36 , predict result/given label= 0.662496/1
predict case 37 , predict result/given label= 0.636210/1
predict case 38 , predict result/given label= 0.339733/1
predict case 39 , predict result/given label= 0.196662/1
predict case 40 , predict result/given label= 0.817961/1
predict case 41 , predict result/given label= 0.468942/1
predict case 42 , predict result/given label= 0.630566/1
predict case 43 , predict result/given label= 0.075375/1
predict case 44 , predict result/given label= 0.817955/1
predict case 45 , predict result/given label= 0.165164/1
predict case 46 , predict result/given label= 0.680407/1
predict case 47 , predict result/given label= 0.681422/1
predict case 48 , predict result/given label= 0.753129/1
predict case 49 , predict result/given label= 0.644133/1
predict case 50 , predict result/given label= 0.840099/1
predict case 51 , predict result/given label= 0.439480/1
predict case 52 , predict result/given label= 0.769189/1
predict case 53 , predict result/given label= 0.829105/1
predict case 54 , predict result/given label= 0.861873/1
predict case 55 , predict result/given label= 0.548482/1
predict case 56 , predict result/given label= 0.117623/1
predict case 57 , predict result/given label= 0.695932/1
predict case 58 , predict result/given label= 0.908339/1
predict case 59 , predict result/given label= 0.786636/1
predict case 60 , predict result/given label= 0.278035/1
predict case 61 , predict result/given label= 0.696362/1
predict case 62 , predict result/given label= 0.713950/1
predict case 63 , predict result/given label= 0.330039/1
predict case 64 , predict result/given label= 0.109113/1
predict case 65 , predict result/given label= 0.668144/1
predict case 66 , predict result/given label= 0.075743/1
predict case 67 , predict result/given label= 0.662886/1
predict case 68 , predict result/given label= 0.615355/1
predict case 69 , predict result/given label= 0.357131/1
predict case 70 , predict result/given label= 0.806687/1
predict case 71 , predict result/given label= 0.636214/1
predict case 72 , predict result/given label= 0.405334/1
predict case 73 , predict result/given label= 0.690156/1
predict case 74 , predict result/given label= 0.419395/1
predict case 75 , predict result/given label= 0.436010/1
predict case 76 , predict result/given label= 0.732491/1
predict case 77 , predict result/given label= 0.462569/1
predict case 78 , predict result/given label= 0.749324/1
predict case 79 , predict result/given label= 0.392276/1
predict case 80 , predict result/given label= 0.543545/1
predict case 81 , predict result/given label= 0.551544/1
predict case 82 , predict result/given label= 0.892210/1
predict case 83 , predict result/given label= 0.466841/1
predict case 84 , predict result/given label= 0.736783/1
predict case 85 , predict result/given label= 0.601033/1
predict case 86 , predict result/given label= 0.220596/1
predict case 87 , predict result/given label= 0.789895/1
predict case 88 , predict result/given label= 0.566702/1
predict case 89 , predict result/given label= 0.648826/1
predict case 90 , predict result/given label= 0.470113/1
predict case 91 , predict result/given label= 0.282670/1
predict case 92 , predict result/given label= 0.414581/1
predict case 93 , predict result/given label= 0.439324/1
predict case 94 , predict result/given label= 0.716219/1
predict case 95 , predict result/given label= 0.797016/1
predict case 96 , predict result/given label= 0.540828/1
predict case 97 , predict result/given label= 0.644345/1
predict case 98 , predict result/given label= 0.888649/1
predict case 99 , predict result/given label= 0.372646/1
predict case 100 , predict result/given label= 0.376217/1
predict case 101 , predict result/given label= 0.329465/1
predict case 102 , predict result/given label= 0.223949/1
predict case 103 , predict result/given label= 0.910255/1
predict case 104 , predict result/given label= 0.292051/1
predict case 105 , predict result/given label= 0.074341/1
predict case 106 , predict result/given label= 0.386537/1
predict case 107 , predict result/given label= 0.543402/1
predict case 108 , predict result/given label= 0.326067/1
predict case 109 , predict result/given label= 0.497243/1
predict case 110 , predict result/given label= 0.830171/1
predict case 111 , predict result/given label= 0.313086/1
predict case 112 , predict result/given label= 0.751532/1
predict case 113 , predict result/given label= 0.335495/1
predict case 114 , predict result/given label= 0.432819/1
predict case 115 , predict result/given label= 0.433254/1
predict case 116 , predict result/given label= 0.073642/1
predict case 117 , predict result/given label= 0.636365/1
predict case 118 , predict result/given label= 0.065545/1
predict case 119 , predict result/given label= 0.378456/1
predict case 120 , predict result/given label= 0.623016/1
predict case 121 , predict result/given label= 0.237375/1
predict case 122 , predict result/given label= 0.313275/1
predict case 123 , predict result/given label= 0.117529/1
predict case 124 , predict result/given label= 0.480993/1
predict case 125 , predict result/given label= 0.714545/1
predict case 126 , predict result/given label= 0.458935/1
predict case 127 , predict result/given label= 0.173214/1
predict case 128 , predict result/given label= 0.547653/1
predict case 129 , predict result/given label= 0.068544/1
predict case 130 , predict result/given label= 0.073259/1
predict case 131 , predict result/given label= 0.628162/1
predict case 132 , predict result/given label= 0.195001/1
predict case 133 , predict result/given label= 0.445718/1
predict case 134 , predict result/given label= 0.888049/1
predict case 135 , predict result/given label= 0.633828/1
predict case 136 , predict result/given label= 0.843592/1
predict case 137 , predict result/given label= 0.099139/1
predict case 138 , predict result/given label= 0.339883/1
predict case 139 , predict result/given label= 0.646212/0
predict case 140 , predict result/given label= 0.127231/0
