predict case 0 , predict result/given label= 0.865578/1
predict case 1 , predict result/given label= 0.814456/1
predict case 2 , predict result/given label= 0.458875/1
predict case 3 , predict result/given label= 0.832326/1
predict case 4 , predict result/given label= 0.381235/1
predict case 5 , predict result/given label= 0.358600/1
predict case 6 , predict result/given label= 0.910919/1
predict case 7 , predict result/given label= 0.251851/1
predict case 8 , predict result/given label= 0.861684/1
predict case 9 , predict result/given label= 0.596378/1
predict case 10 , predict result/given label= 0.575384/1
predict case 11 , predict result/given label= 0.320175/1
predict case 12 , predict result/given label= 0.402433/1
predict case 13 , predict result/given label= 0.717730/1
predict case 14 , predict result/given label= 0.488617/1
predict case 15 , predict result/given label= 0.406396/1
predict case 16 , predict result/given label= 0.882406/1
predict case 17 , predict result/given label= 0.893230/1
predict case 18 , predict result/given label= 0.404939/1
predict case 19 , predict result/given label= 0.841961/1
predict case 20 , predict result/given label= 0.925100/1
predict case 21 , predict result/given label= 0.725108/1
predict case 22 , predict result/given label= 0.729071/1
predict case 23 , predict result/given label= 0.537369/1
predict case 24 , predict result/given label= 0.841559/1
predict case 25 , predict result/given label= 0.345435/1
predict case 26 , predict result/given label= 0.818464/1
predict case 27 , predict result/given label= 0.719462/1
predict case 28 , predict result/given label= 0.927565/1
predict case 29 , predict result/given label= 0.924735/1
predict case 30 , predict result/given label= 0.926355/1
predict case 31 , predict result/given label= 0.370048/1
predict case 32 , predict result/given label= 0.848869/1
predict case 33 , predict result/given label= 0.641608/1
predict case 34 , predict result/given label= 0.458632/1
predict case 35 , predict result/given label= 0.218746/1
predict case 36 , predict result/given label= 0.792912/1
predict case 37 , predict result/given label= 0.883592/1
predict case 38 , predict result/given label= 0.618335/1
predict case 39 , predict result/given label= 0.533110/1
predict case 40 , predict result/given label= 0.843345/1
predict case 41 , predict result/given label= 0.493971/1
predict case 42 , predict result/given label= 0.689392/1
predict case 43 , predict result/given label= 0.748584/1
predict case 44 , predict result/given label= 0.411078/1
predict case 45 , predict result/given label= 0.874763/1
predict case 46 , predict result/given label= 0.401602/1
predict case 47 , predict result/given label= 0.776061/1
predict case 48 , predict result/given label= 0.323891/1
predict case 49 , predict result/given label= 0.679457/1
predict case 50 , predict result/given label= 0.839208/1
predict case 51 , predict result/given label= 0.301018/1
predict case 52 , predict result/given label= 0.787255/1
predict case 53 , predict result/given label= 0.655127/1
predict case 54 , predict result/given label= 0.916836/1
predict case 55 , predict result/given label= 0.880838/1
predict case 56 , predict result/given label= 0.389557/1
predict case 57 , predict result/given label= 0.472623/1
predict case 58 , predict result/given label= 0.640216/1
predict case 59 , predict result/given label= 0.931150/1
predict case 60 , predict result/given label= 0.496934/1
predict case 61 , predict result/given label= 0.896396/1
predict case 62 , predict result/given label= 0.664210/1
predict case 63 , predict result/given label= 0.888929/1
predict case 64 , predict result/given label= 0.425069/1
predict case 65 , predict result/given label= 0.295821/1
predict case 66 , predict result/given label= 0.843086/1
predict case 67 , predict result/given label= 0.858195/1
predict case 68 , predict result/given label= 0.288775/1
predict case 69 , predict result/given label= 0.934276/1
predict case 70 , predict result/given label= 0.608312/1
predict case 71 , predict result/given label= 0.454416/1
predict case 72 , predict result/given label= 0.751404/1
predict case 73 , predict result/given label= 0.813932/1
predict case 74 , predict result/given label= 0.813681/1
predict case 75 , predict result/given label= 0.874298/1
predict case 76 , predict result/given label= 0.747598/1
predict case 77 , predict result/given label= 0.462670/1
predict case 78 , predict result/given label= 0.384148/1
predict case 79 , predict result/given label= 0.845100/1
predict case 80 , predict result/given label= 0.450000/1
predict case 81 , predict result/given label= 0.736892/1
predict case 82 , predict result/given label= 0.565439/1
predict case 83 , predict result/given label= 0.753985/1
predict case 84 , predict result/given label= 0.228552/1
predict case 85 , predict result/given label= 0.901008/1
predict case 86 , predict result/given label= 0.829276/1
predict case 87 , predict result/given label= 0.439488/1
predict case 88 , predict result/given label= 0.824373/1
predict case 89 , predict result/given label= 0.917638/1
predict case 90 , predict result/given label= 0.314024/1
predict case 91 , predict result/given label= 0.521802/1
predict case 92 , predict result/given label= 0.725108/1
predict case 93 , predict result/given label= 0.901067/1
predict case 94 , predict result/given label= 0.930708/1
predict case 95 , predict result/given label= 0.912270/1
predict case 96 , predict result/given label= 0.378247/1
predict case 97 , predict result/given label= 0.933306/1
predict case 98 , predict result/given label= 0.924225/1
predict case 99 , predict result/given label= 0.688225/1
predict case 100 , predict result/given label= 0.711145/1
predict case 101 , predict result/given label= 0.364526/1
predict case 102 , predict result/given label= 0.394070/1
predict case 103 , predict result/given label= 0.288619/1
predict case 104 , predict result/given label= 0.244938/1
predict case 105 , predict result/given label= 0.561401/1
predict case 106 , predict result/given label= 0.925757/1
predict case 107 , predict result/given label= 0.930652/1
predict case 108 , predict result/given label= 0.859142/1
predict case 109 , predict result/given label= 0.855454/1
predict case 110 , predict result/given label= 0.725108/1
predict case 111 , predict result/given label= 0.576092/1
predict case 112 , predict result/given label= 0.394739/1
predict case 113 , predict result/given label= 0.535200/1
predict case 114 , predict result/given label= 0.715854/1
predict case 115 , predict result/given label= 0.412883/1
predict case 116 , predict result/given label= 0.930577/1
predict case 117 , predict result/given label= 0.916493/1
predict case 118 , predict result/given label= 0.926899/1
predict case 119 , predict result/given label= 0.569694/1
predict case 120 , predict result/given label= 0.425653/1
predict case 121 , predict result/given label= 0.352976/1
predict case 122 , predict result/given label= 0.464654/1
predict case 123 , predict result/given label= 0.869446/1
predict case 124 , predict result/given label= 0.393266/1
predict case 125 , predict result/given label= 0.786446/1
predict case 126 , predict result/given label= 0.932572/1
predict case 127 , predict result/given label= 0.438673/1
predict case 128 , predict result/given label= 0.494255/1
predict case 129 , predict result/given label= 0.892979/1
predict case 130 , predict result/given label= 0.355359/1
predict case 131 , predict result/given label= 0.912703/1
predict case 132 , predict result/given label= 0.338965/1
predict case 133 , predict result/given label= 0.286740/1
predict case 134 , predict result/given label= 0.477951/1
predict case 135 , predict result/given label= 0.367167/1
predict case 136 , predict result/given label= 0.931731/1
predict case 137 , predict result/given label= 0.829128/1
predict case 138 , predict result/given label= 0.929708/1
predict case 139 , predict result/given label= 0.469748/1
predict case 140 , predict result/given label= 0.846028/1
predict case 141 , predict result/given label= 0.640522/1
predict case 142 , predict result/given label= 0.924681/1
predict case 143 , predict result/given label= 0.926389/1
predict case 144 , predict result/given label= 0.894064/1
predict case 145 , predict result/given label= 0.827434/1
predict case 146 , predict result/given label= 0.877811/1
predict case 147 , predict result/given label= 0.922350/1
predict case 148 , predict result/given label= 0.348071/1
predict case 149 , predict result/given label= 0.479892/1
