predict case 0 , predict result/given label= 0.618858/1
predict case 1 , predict result/given label= 0.899338/1
predict case 2 , predict result/given label= 0.904243/1
predict case 3 , predict result/given label= 0.303328/1
predict case 4 , predict result/given label= 0.606036/1
predict case 5 , predict result/given label= 0.903290/1
predict case 6 , predict result/given label= 0.513931/1
predict case 7 , predict result/given label= 0.888753/1
predict case 8 , predict result/given label= 0.866085/1
predict case 9 , predict result/given label= 0.938066/1
predict case 10 , predict result/given label= 0.614602/1
predict case 11 , predict result/given label= 0.850858/1
predict case 12 , predict result/given label= 0.538667/1
predict case 13 , predict result/given label= 0.695549/1
predict case 14 , predict result/given label= 0.652653/1
predict case 15 , predict result/given label= 0.845548/1
predict case 16 , predict result/given label= 0.342852/1
predict case 17 , predict result/given label= 0.912645/1
predict case 18 , predict result/given label= 0.657987/1
predict case 19 , predict result/given label= 0.634015/1
predict case 20 , predict result/given label= 0.910507/1
predict case 21 , predict result/given label= 0.546527/1
predict case 22 , predict result/given label= 0.413398/1
predict case 23 , predict result/given label= 0.580654/1
predict case 24 , predict result/given label= 0.928309/1
predict case 25 , predict result/given label= 0.298558/1
predict case 26 , predict result/given label= 0.711627/1
predict case 27 , predict result/given label= 0.924819/1
predict case 28 , predict result/given label= 0.925909/1
predict case 29 , predict result/given label= 0.347836/1
predict case 30 , predict result/given label= 0.887722/1
predict case 31 , predict result/given label= 0.763235/1
predict case 32 , predict result/given label= 0.924987/1
predict case 33 , predict result/given label= 0.213488/1
predict case 34 , predict result/given label= 0.893171/1
predict case 35 , predict result/given label= 0.585914/1
predict case 36 , predict result/given label= 0.479989/1
predict case 37 , predict result/given label= 0.283700/1
predict case 38 , predict result/given label= 0.654681/1
predict case 39 , predict result/given label= 0.254655/1
predict case 40 , predict result/given label= 0.926222/1
predict case 41 , predict result/given label= 0.924250/1
predict case 42 , predict result/given label= 0.558636/1
predict case 43 , predict result/given label= 0.926855/1
predict case 44 , predict result/given label= 0.276317/1
predict case 45 , predict result/given label= 0.350780/1
