predict case 0 , predict result/given label= 0.060660/1
predict case 1 , predict result/given label= 0.069232/1
predict case 2 , predict result/given label= 0.088763/1
predict case 3 , predict result/given label= 0.498755/1
predict case 4 , predict result/given label= 0.068278/1
predict case 5 , predict result/given label= 0.309025/1
predict case 6 , predict result/given label= 0.102851/1
predict case 7 , predict result/given label= 0.469737/1
predict case 8 , predict result/given label= 0.061669/1
predict case 9 , predict result/given label= 0.065736/1
predict case 10 , predict result/given label= 0.089077/1
predict case 11 , predict result/given label= 0.148384/1
predict case 12 , predict result/given label= 0.064670/1
predict case 13 , predict result/given label= 0.066704/1
predict case 14 , predict result/given label= 0.070358/1
predict case 15 , predict result/given label= 0.071066/1
predict case 16 , predict result/given label= 0.153675/1
predict case 17 , predict result/given label= 0.077321/1
predict case 18 , predict result/given label= 0.108502/1
predict case 19 , predict result/given label= 0.069270/1
predict case 20 , predict result/given label= 0.063413/1
predict case 21 , predict result/given label= 0.223209/1
predict case 22 , predict result/given label= 0.055084/1
predict case 23 , predict result/given label= 0.092759/1
predict case 24 , predict result/given label= 0.070604/1
predict case 25 , predict result/given label= 0.061395/1
predict case 26 , predict result/given label= 0.632796/1
predict case 27 , predict result/given label= 0.061814/1
predict case 28 , predict result/given label= 0.067820/1
predict case 29 , predict result/given label= 0.057645/1
predict case 30 , predict result/given label= 0.103387/1
predict case 31 , predict result/given label= 0.134126/1
predict case 32 , predict result/given label= 0.071906/1
predict case 33 , predict result/given label= 0.055514/1
predict case 34 , predict result/given label= 0.114108/1
predict case 35 , predict result/given label= 0.154903/1
predict case 36 , predict result/given label= 0.146929/1
predict case 37 , predict result/given label= 0.068974/1
predict case 38 , predict result/given label= 0.094400/1
predict case 39 , predict result/given label= 0.324354/1
predict case 40 , predict result/given label= 0.065230/1
predict case 41 , predict result/given label= 0.069622/1
predict case 42 , predict result/given label= 0.067859/1
predict case 43 , predict result/given label= 0.190736/0
predict case 44 , predict result/given label= 0.059143/0
predict case 45 , predict result/given label= 0.062419/0
predict case 46 , predict result/given label= 0.062617/0
predict case 47 , predict result/given label= 0.129561/0
predict case 48 , predict result/given label= 0.151383/0
predict case 49 , predict result/given label= 0.087615/0
predict case 50 , predict result/given label= 0.325738/0
predict case 51 , predict result/given label= 0.067671/0
predict case 52 , predict result/given label= 0.071922/0
predict case 53 , predict result/given label= 0.295037/0
predict case 54 , predict result/given label= 0.079710/0
predict case 55 , predict result/given label= 0.069752/0
predict case 56 , predict result/given label= 0.068291/0
predict case 57 , predict result/given label= 0.130951/0
predict case 58 , predict result/given label= 0.071588/0
predict case 59 , predict result/given label= 0.066067/0
predict case 60 , predict result/given label= 0.326001/0
predict case 61 , predict result/given label= 0.413222/0
predict case 62 , predict result/given label= 0.071928/0
predict case 63 , predict result/given label= 0.067316/0
predict case 64 , predict result/given label= 0.069310/0
predict case 65 , predict result/given label= 0.064684/0
predict case 66 , predict result/given label= 0.071787/0
predict case 67 , predict result/given label= 0.090472/0
predict case 68 , predict result/given label= 0.187719/0
predict case 69 , predict result/given label= 0.074831/0
predict case 70 , predict result/given label= 0.325502/0
predict case 71 , predict result/given label= 0.062971/0
predict case 72 , predict result/given label= 0.084428/0
predict case 73 , predict result/given label= 0.064756/0
predict case 74 , predict result/given label= 0.171507/0
predict case 75 , predict result/given label= 0.061663/0
predict case 76 , predict result/given label= 0.063814/0
predict case 77 , predict result/given label= 0.314244/0
predict case 78 , predict result/given label= 0.081227/0
predict case 79 , predict result/given label= 0.137068/0
predict case 80 , predict result/given label= 0.067594/0
predict case 81 , predict result/given label= 0.190580/0
predict case 82 , predict result/given label= 0.150923/0
predict case 83 , predict result/given label= 0.073293/0
predict case 84 , predict result/given label= 0.088330/0
predict case 85 , predict result/given label= 0.081022/0
