predict case 0 , predict result/given label= 0.729367/1
predict case 1 , predict result/given label= 0.164053/1
predict case 2 , predict result/given label= 0.607434/1
predict case 3 , predict result/given label= 0.520024/1
predict case 4 , predict result/given label= 0.592220/1
predict case 5 , predict result/given label= 0.153310/1
predict case 6 , predict result/given label= 0.598858/1
predict case 7 , predict result/given label= 0.344433/1
predict case 8 , predict result/given label= 0.528518/1
predict case 9 , predict result/given label= 0.496795/1
predict case 10 , predict result/given label= 0.512944/1
predict case 11 , predict result/given label= 0.701289/1
predict case 12 , predict result/given label= 0.600628/1
predict case 13 , predict result/given label= 0.630358/1
predict case 14 , predict result/given label= 0.495514/1
predict case 15 , predict result/given label= 0.164502/1
predict case 16 , predict result/given label= 0.556244/1
predict case 17 , predict result/given label= 0.508844/1
predict case 18 , predict result/given label= 0.618457/1
predict case 19 , predict result/given label= 0.572873/1
predict case 20 , predict result/given label= 0.532528/1
predict case 21 , predict result/given label= 0.205290/1
predict case 22 , predict result/given label= 0.423280/1
predict case 23 , predict result/given label= 0.493102/1
predict case 24 , predict result/given label= 0.631062/1
predict case 25 , predict result/given label= 0.435312/1
predict case 26 , predict result/given label= 0.563606/1
predict case 27 , predict result/given label= 0.637571/1
predict case 28 , predict result/given label= 0.450974/1
predict case 29 , predict result/given label= 0.392073/1
predict case 30 , predict result/given label= 0.691605/1
predict case 31 , predict result/given label= 0.074008/1
predict case 32 , predict result/given label= 0.624086/1
predict case 33 , predict result/given label= 0.400223/1
predict case 34 , predict result/given label= 0.112567/1
predict case 35 , predict result/given label= 0.479002/1
predict case 36 , predict result/given label= 0.303476/1
predict case 37 , predict result/given label= 0.240906/1
predict case 38 , predict result/given label= 0.201396/1
predict case 39 , predict result/given label= 0.123465/1
predict case 40 , predict result/given label= 0.573942/1
predict case 41 , predict result/given label= 0.663524/1
predict case 42 , predict result/given label= 0.083968/1
predict case 43 , predict result/given label= 0.555540/1
predict case 44 , predict result/given label= 0.532976/1
predict case 45 , predict result/given label= 0.495068/1
predict case 46 , predict result/given label= 0.735083/1
predict case 47 , predict result/given label= 0.379154/1
predict case 48 , predict result/given label= 0.079517/1
predict case 49 , predict result/given label= 0.722956/1
predict case 50 , predict result/given label= 0.256970/1
predict case 51 , predict result/given label= 0.554680/1
predict case 52 , predict result/given label= 0.740485/1
predict case 53 , predict result/given label= 0.710427/1
predict case 54 , predict result/given label= 0.734995/1
predict case 55 , predict result/given label= 0.569434/1
predict case 56 , predict result/given label= 0.735871/1
predict case 57 , predict result/given label= 0.075283/1
predict case 58 , predict result/given label= 0.104839/1
predict case 59 , predict result/given label= 0.740601/1
predict case 60 , predict result/given label= 0.557955/1
predict case 61 , predict result/given label= 0.496581/1
predict case 62 , predict result/given label= 0.434531/1
predict case 63 , predict result/given label= 0.075689/1
predict case 64 , predict result/given label= 0.359067/1
predict case 65 , predict result/given label= 0.176481/1
predict case 66 , predict result/given label= 0.347931/1
predict case 67 , predict result/given label= 0.419265/1
predict case 68 , predict result/given label= 0.396584/1
predict case 69 , predict result/given label= 0.558644/1
predict case 70 , predict result/given label= 0.673041/1
predict case 71 , predict result/given label= 0.675200/1
predict case 72 , predict result/given label= 0.266507/1
predict case 73 , predict result/given label= 0.588539/1
predict case 74 , predict result/given label= 0.514527/1
predict case 75 , predict result/given label= 0.500265/1
predict case 76 , predict result/given label= 0.483005/1
predict case 77 , predict result/given label= 0.562219/1
predict case 78 , predict result/given label= 0.534625/1
predict case 79 , predict result/given label= 0.454941/1
predict case 80 , predict result/given label= 0.671408/1
predict case 81 , predict result/given label= 0.452912/1
predict case 82 , predict result/given label= 0.271716/1
predict case 83 , predict result/given label= 0.494901/1
predict case 84 , predict result/given label= 0.371591/1
predict case 85 , predict result/given label= 0.302841/1
predict case 86 , predict result/given label= 0.739066/1
predict case 87 , predict result/given label= 0.589912/1
predict case 88 , predict result/given label= 0.528961/1
predict case 89 , predict result/given label= 0.531537/1
predict case 90 , predict result/given label= 0.473286/1
predict case 91 , predict result/given label= 0.668704/1
predict case 92 , predict result/given label= 0.534252/1
predict case 93 , predict result/given label= 0.474884/1
predict case 94 , predict result/given label= 0.531275/1
predict case 95 , predict result/given label= 0.600452/1
predict case 96 , predict result/given label= 0.600344/1
predict case 97 , predict result/given label= 0.555607/1
