predict case 0 , predict result/given label= 0.719060/1
predict case 1 , predict result/given label= 0.740866/1
predict case 2 , predict result/given label= 0.875211/1
predict case 3 , predict result/given label= 0.855127/1
predict case 4 , predict result/given label= 0.226712/1
predict case 5 , predict result/given label= 0.725074/1
predict case 6 , predict result/given label= 0.431905/1
predict case 7 , predict result/given label= 0.645115/1
predict case 8 , predict result/given label= 0.564550/1
predict case 9 , predict result/given label= 0.235014/1
predict case 10 , predict result/given label= 0.475035/1
predict case 11 , predict result/given label= 0.360294/1
predict case 12 , predict result/given label= 0.511338/1
predict case 13 , predict result/given label= 0.706253/1
predict case 14 , predict result/given label= 0.437513/1
predict case 15 , predict result/given label= 0.807467/1
predict case 16 , predict result/given label= 0.502180/1
predict case 17 , predict result/given label= 0.702239/1
predict case 18 , predict result/given label= 0.385062/1
predict case 19 , predict result/given label= 0.449179/1
predict case 20 , predict result/given label= 0.822867/1
predict case 21 , predict result/given label= 0.721110/1
predict case 22 , predict result/given label= 0.301669/1
predict case 23 , predict result/given label= 0.394240/1
predict case 24 , predict result/given label= 0.634133/1
predict case 25 , predict result/given label= 0.313917/1
predict case 26 , predict result/given label= 0.609673/1
predict case 27 , predict result/given label= 0.487868/1
predict case 28 , predict result/given label= 0.546186/1
predict case 29 , predict result/given label= 0.271018/1
predict case 30 , predict result/given label= 0.431244/1
predict case 31 , predict result/given label= 0.346426/1
predict case 32 , predict result/given label= 0.691328/1
predict case 33 , predict result/given label= 0.648790/1
predict case 34 , predict result/given label= 0.345772/1
predict case 35 , predict result/given label= 0.797031/1
predict case 36 , predict result/given label= 0.834376/1
predict case 37 , predict result/given label= 0.378444/1
predict case 38 , predict result/given label= 0.386224/1
predict case 39 , predict result/given label= 0.220408/1
predict case 40 , predict result/given label= 0.809531/1
predict case 41 , predict result/given label= 0.534906/1
predict case 42 , predict result/given label= 0.734605/1
predict case 43 , predict result/given label= 0.311438/1
predict case 44 , predict result/given label= 0.409453/1
predict case 45 , predict result/given label= 0.277200/1
predict case 46 , predict result/given label= 0.735093/1
predict case 47 , predict result/given label= 0.661939/1
predict case 48 , predict result/given label= 0.743384/1
predict case 49 , predict result/given label= 0.619797/1
predict case 50 , predict result/given label= 0.594880/1
predict case 51 , predict result/given label= 0.346022/1
predict case 52 , predict result/given label= 0.489472/1
predict case 53 , predict result/given label= 0.241606/1
predict case 54 , predict result/given label= 0.641626/1
predict case 55 , predict result/given label= 0.375613/1
predict case 56 , predict result/given label= 0.159433/1
predict case 57 , predict result/given label= 0.810624/1
predict case 58 , predict result/given label= 0.784952/1
predict case 59 , predict result/given label= 0.571699/1
predict case 60 , predict result/given label= 0.629395/1
predict case 61 , predict result/given label= 0.800564/1
predict case 62 , predict result/given label= 0.474373/1
predict case 63 , predict result/given label= 0.697205/1
predict case 64 , predict result/given label= 0.720461/1
predict case 65 , predict result/given label= 0.461999/1
predict case 66 , predict result/given label= 0.535549/1
predict case 67 , predict result/given label= 0.319892/1
predict case 68 , predict result/given label= 0.630246/1
predict case 69 , predict result/given label= 0.534612/1
predict case 70 , predict result/given label= 0.850095/1
predict case 71 , predict result/given label= 0.289304/1
predict case 72 , predict result/given label= 0.443107/1
predict case 73 , predict result/given label= 0.772795/1
predict case 74 , predict result/given label= 0.594577/1
predict case 75 , predict result/given label= 0.481370/1
predict case 76 , predict result/given label= 0.210683/1
predict case 77 , predict result/given label= 0.527509/1
predict case 78 , predict result/given label= 0.469293/1
predict case 79 , predict result/given label= 0.739712/1
predict case 80 , predict result/given label= 0.653117/1
predict case 81 , predict result/given label= 0.607014/1
predict case 82 , predict result/given label= 0.224174/1
predict case 83 , predict result/given label= 0.380708/1
predict case 84 , predict result/given label= 0.698899/1
predict case 85 , predict result/given label= 0.234219/1
predict case 86 , predict result/given label= 0.878489/1
predict case 87 , predict result/given label= 0.561738/1
predict case 88 , predict result/given label= 0.283474/1
predict case 89 , predict result/given label= 0.684897/1
predict case 90 , predict result/given label= 0.380094/1
predict case 91 , predict result/given label= 0.736171/1
predict case 92 , predict result/given label= 0.309653/1
predict case 93 , predict result/given label= 0.511597/1
predict case 94 , predict result/given label= 0.493347/1
predict case 95 , predict result/given label= 0.460868/1
predict case 96 , predict result/given label= 0.785834/1
predict case 97 , predict result/given label= 0.720651/1
predict case 98 , predict result/given label= 0.367390/1
predict case 99 , predict result/given label= 0.529669/1
predict case 100 , predict result/given label= 0.473593/1
predict case 101 , predict result/given label= 0.722306/1
predict case 102 , predict result/given label= 0.314656/1
predict case 103 , predict result/given label= 0.693419/1
predict case 104 , predict result/given label= 0.745486/1
predict case 105 , predict result/given label= 0.570200/1
predict case 106 , predict result/given label= 0.308120/1
predict case 107 , predict result/given label= 0.462837/1
predict case 108 , predict result/given label= 0.378897/1
predict case 109 , predict result/given label= 0.469893/1
predict case 110 , predict result/given label= 0.668671/1
predict case 111 , predict result/given label= 0.493079/1
predict case 112 , predict result/given label= 0.677466/1
predict case 113 , predict result/given label= 0.256345/1
predict case 114 , predict result/given label= 0.754178/1
predict case 115 , predict result/given label= 0.727108/1
predict case 116 , predict result/given label= 0.699972/1
predict case 117 , predict result/given label= 0.297444/1
predict case 118 , predict result/given label= 0.490509/1
predict case 119 , predict result/given label= 0.666691/1
predict case 120 , predict result/given label= 0.445277/1
predict case 121 , predict result/given label= 0.792996/1
predict case 122 , predict result/given label= 0.429150/1
predict case 123 , predict result/given label= 0.382211/1
predict case 124 , predict result/given label= 0.516689/1
predict case 125 , predict result/given label= 0.685207/1
predict case 126 , predict result/given label= 0.278578/1
predict case 127 , predict result/given label= 0.629434/1
predict case 128 , predict result/given label= 0.596220/1
predict case 129 , predict result/given label= 0.408581/1
predict case 130 , predict result/given label= 0.519075/1
predict case 131 , predict result/given label= 0.365057/1
predict case 132 , predict result/given label= 0.381319/1
predict case 133 , predict result/given label= 0.236862/1
predict case 134 , predict result/given label= 0.233854/1
predict case 135 , predict result/given label= 0.544703/1
predict case 136 , predict result/given label= 0.647132/1
predict case 137 , predict result/given label= 0.632602/1
predict case 138 , predict result/given label= 0.266695/1
predict case 139 , predict result/given label= 0.366778/0
predict case 140 , predict result/given label= 0.557921/0
predict case 141 , predict result/given label= 0.558801/0
predict case 142 , predict result/given label= 0.489878/0
predict case 143 , predict result/given label= 0.479314/0
predict case 144 , predict result/given label= 0.208428/0
predict case 145 , predict result/given label= 0.332673/0
predict case 146 , predict result/given label= 0.495909/0
predict case 147 , predict result/given label= 0.356549/0
predict case 148 , predict result/given label= 0.619309/0
predict case 149 , predict result/given label= 0.321567/0
predict case 150 , predict result/given label= 0.259476/0
predict case 151 , predict result/given label= 0.721253/0
predict case 152 , predict result/given label= 0.484812/0
predict case 153 , predict result/given label= 0.281181/0
predict case 154 , predict result/given label= 0.293309/0
predict case 155 , predict result/given label= 0.445342/0
predict case 156 , predict result/given label= 0.619842/0
predict case 157 , predict result/given label= 0.353893/0
predict case 158 , predict result/given label= 0.599981/0
predict case 159 , predict result/given label= 0.310659/0
predict case 160 , predict result/given label= 0.272189/0
predict case 161 , predict result/given label= 0.481409/0
predict case 162 , predict result/given label= 0.768839/0
predict case 163 , predict result/given label= 0.483205/0
predict case 164 , predict result/given label= 0.234342/0
predict case 165 , predict result/given label= 0.502945/0
predict case 166 , predict result/given label= 0.438983/0
predict case 167 , predict result/given label= 0.380188/0
predict case 168 , predict result/given label= 0.346804/0
predict case 169 , predict result/given label= 0.491862/0
predict case 170 , predict result/given label= 0.692282/0
predict case 171 , predict result/given label= 0.304545/0
predict case 172 , predict result/given label= 0.233457/0
predict case 173 , predict result/given label= 0.220053/0
predict case 174 , predict result/given label= 0.489713/0
predict case 175 , predict result/given label= 0.462106/0
predict case 176 , predict result/given label= 0.469234/0
predict case 177 , predict result/given label= 0.240952/0
predict case 178 , predict result/given label= 0.567940/0
predict case 179 , predict result/given label= 0.770409/0
predict case 180 , predict result/given label= 0.213493/0
predict case 181 , predict result/given label= 0.459645/0
predict case 182 , predict result/given label= 0.310298/0
predict case 183 , predict result/given label= 0.376278/0
predict case 184 , predict result/given label= 0.376825/0
predict case 185 , predict result/given label= 0.449012/0
predict case 186 , predict result/given label= 0.513742/0
predict case 187 , predict result/given label= 0.232446/0
predict case 188 , predict result/given label= 0.456046/0
predict case 189 , predict result/given label= 0.491209/0
predict case 190 , predict result/given label= 0.467792/0
predict case 191 , predict result/given label= 0.382104/0
predict case 192 , predict result/given label= 0.340189/0
