predict case 0 , predict result/given label= 0.437926/1
predict case 1 , predict result/given label= 0.383316/1
predict case 2 , predict result/given label= 0.337108/1
predict case 3 , predict result/given label= 0.683811/1
predict case 4 , predict result/given label= 0.438235/1
predict case 5 , predict result/given label= 0.809085/1
predict case 6 , predict result/given label= 0.422756/1
predict case 7 , predict result/given label= 0.631670/1
predict case 8 , predict result/given label= 0.914792/1
predict case 9 , predict result/given label= 0.847395/1
predict case 10 , predict result/given label= 0.540009/1
predict case 11 , predict result/given label= 0.737320/1
predict case 12 , predict result/given label= 0.126505/1
predict case 13 , predict result/given label= 0.576549/1
predict case 14 , predict result/given label= 0.115222/1
predict case 15 , predict result/given label= 0.725138/1
predict case 16 , predict result/given label= 0.562441/1
predict case 17 , predict result/given label= 0.702972/1
predict case 18 , predict result/given label= 0.567835/1
predict case 19 , predict result/given label= 0.803158/1
predict case 20 , predict result/given label= 0.247483/1
predict case 21 , predict result/given label= 0.390593/1
predict case 22 , predict result/given label= 0.501623/1
predict case 23 , predict result/given label= 0.861163/1
predict case 24 , predict result/given label= 0.745997/1
predict case 25 , predict result/given label= 0.448113/1
predict case 26 , predict result/given label= 0.074583/1
predict case 27 , predict result/given label= 0.301562/1
predict case 28 , predict result/given label= 0.074074/1
predict case 29 , predict result/given label= 0.785927/1
predict case 30 , predict result/given label= 0.790493/1
predict case 31 , predict result/given label= 0.074872/1
predict case 32 , predict result/given label= 0.072377/1
predict case 33 , predict result/given label= 0.127801/1
predict case 34 , predict result/given label= 0.570582/1
predict case 35 , predict result/given label= 0.497963/1
predict case 36 , predict result/given label= 0.517448/1
predict case 37 , predict result/given label= 0.794441/1
predict case 38 , predict result/given label= 0.922847/1
predict case 39 , predict result/given label= 0.330478/1
predict case 40 , predict result/given label= 0.414541/1
predict case 41 , predict result/given label= 0.211888/1
predict case 42 , predict result/given label= 0.073915/1
predict case 43 , predict result/given label= 0.527968/1
predict case 44 , predict result/given label= 0.110522/1
predict case 45 , predict result/given label= 0.338682/1
predict case 46 , predict result/given label= 0.749058/1
predict case 47 , predict result/given label= 0.636772/1
predict case 48 , predict result/given label= 0.490382/1
predict case 49 , predict result/given label= 0.859800/1
predict case 50 , predict result/given label= 0.301692/1
predict case 51 , predict result/given label= 0.561542/1
predict case 52 , predict result/given label= 0.074775/1
predict case 53 , predict result/given label= 0.721216/1
predict case 54 , predict result/given label= 0.073075/1
predict case 55 , predict result/given label= 0.775564/1
predict case 56 , predict result/given label= 0.394097/1
predict case 57 , predict result/given label= 0.800171/1
predict case 58 , predict result/given label= 0.173519/1
predict case 59 , predict result/given label= 0.554373/1
predict case 60 , predict result/given label= 0.452445/1
predict case 61 , predict result/given label= 0.331701/1
predict case 62 , predict result/given label= 0.314080/1
predict case 63 , predict result/given label= 0.383197/1
predict case 64 , predict result/given label= 0.540662/1
predict case 65 , predict result/given label= 0.616809/1
predict case 66 , predict result/given label= 0.680268/1
predict case 67 , predict result/given label= 0.625524/1
predict case 68 , predict result/given label= 0.182049/1
predict case 69 , predict result/given label= 0.690754/1
predict case 70 , predict result/given label= 0.514483/1
predict case 71 , predict result/given label= 0.214485/1
predict case 72 , predict result/given label= 0.113326/1
predict case 73 , predict result/given label= 0.807243/1
predict case 74 , predict result/given label= 0.535984/1
predict case 75 , predict result/given label= 0.705283/1
predict case 76 , predict result/given label= 0.340132/1
predict case 77 , predict result/given label= 0.879577/1
predict case 78 , predict result/given label= 0.377733/1
predict case 79 , predict result/given label= 0.244111/1
predict case 80 , predict result/given label= 0.196781/1
predict case 81 , predict result/given label= 0.554172/1
predict case 82 , predict result/given label= 0.628507/1
predict case 83 , predict result/given label= 0.283846/1
predict case 84 , predict result/given label= 0.854644/1
predict case 85 , predict result/given label= 0.848346/1
predict case 86 , predict result/given label= 0.404077/1
predict case 87 , predict result/given label= 0.462522/1
predict case 88 , predict result/given label= 0.288342/1
predict case 89 , predict result/given label= 0.705160/0
predict case 90 , predict result/given label= 0.364112/0
predict case 91 , predict result/given label= 0.072989/0
predict case 92 , predict result/given label= 0.658980/0
predict case 93 , predict result/given label= 0.470035/0
predict case 94 , predict result/given label= 0.500736/0
predict case 95 , predict result/given label= 0.460243/0
predict case 96 , predict result/given label= 0.450881/0
predict case 97 , predict result/given label= 0.715118/0
predict case 98 , predict result/given label= 0.547717/0
predict case 99 , predict result/given label= 0.300926/0
predict case 100 , predict result/given label= 0.206215/0
predict case 101 , predict result/given label= 0.774310/0
predict case 102 , predict result/given label= 0.427695/0
predict case 103 , predict result/given label= 0.885320/0
predict case 104 , predict result/given label= 0.475850/0
predict case 105 , predict result/given label= 0.288008/0
predict case 106 , predict result/given label= 0.208425/0
predict case 107 , predict result/given label= 0.163494/0
predict case 108 , predict result/given label= 0.614172/0
predict case 109 , predict result/given label= 0.550644/0
predict case 110 , predict result/given label= 0.168092/0
predict case 111 , predict result/given label= 0.657057/0
predict case 112 , predict result/given label= 0.330720/0
predict case 113 , predict result/given label= 0.322934/0
predict case 114 , predict result/given label= 0.432250/0
predict case 115 , predict result/given label= 0.182250/0
predict case 116 , predict result/given label= 0.607725/0
predict case 117 , predict result/given label= 0.166556/0
predict case 118 , predict result/given label= 0.338231/0
predict case 119 , predict result/given label= 0.331307/0
predict case 120 , predict result/given label= 0.229770/0
predict case 121 , predict result/given label= 0.524238/0
predict case 122 , predict result/given label= 0.387741/0
predict case 123 , predict result/given label= 0.604944/0
predict case 124 , predict result/given label= 0.184929/0
predict case 125 , predict result/given label= 0.540318/0
predict case 126 , predict result/given label= 0.556576/0
predict case 127 , predict result/given label= 0.104929/0
predict case 128 , predict result/given label= 0.607914/0
predict case 129 , predict result/given label= 0.110331/0
predict case 130 , predict result/given label= 0.295516/0
predict case 131 , predict result/given label= 0.769444/0
predict case 132 , predict result/given label= 0.540380/0
predict case 133 , predict result/given label= 0.293755/0
predict case 134 , predict result/given label= 0.324947/0
predict case 135 , predict result/given label= 0.679679/0
predict case 136 , predict result/given label= 0.203457/0
predict case 137 , predict result/given label= 0.557744/0
predict case 138 , predict result/given label= 0.442475/0
predict case 139 , predict result/given label= 0.914311/0
predict case 140 , predict result/given label= 0.523310/0
predict case 141 , predict result/given label= 0.388006/0
predict case 142 , predict result/given label= 0.395885/0
predict case 143 , predict result/given label= 0.226569/0
predict case 144 , predict result/given label= 0.075689/0
predict case 145 , predict result/given label= 0.350942/0
predict case 146 , predict result/given label= 0.328168/0
predict case 147 , predict result/given label= 0.290686/0
predict case 148 , predict result/given label= 0.073950/0
predict case 149 , predict result/given label= 0.458003/0
predict case 150 , predict result/given label= 0.075351/0
predict case 151 , predict result/given label= 0.325350/0
predict case 152 , predict result/given label= 0.278345/0
predict case 153 , predict result/given label= 0.392521/0
predict case 154 , predict result/given label= 0.072702/0
predict case 155 , predict result/given label= 0.329717/0
predict case 156 , predict result/given label= 0.346384/0
predict case 157 , predict result/given label= 0.290266/0
predict case 158 , predict result/given label= 0.333925/0
predict case 159 , predict result/given label= 0.510292/0
predict case 160 , predict result/given label= 0.382037/0
predict case 161 , predict result/given label= 0.579960/0
predict case 162 , predict result/given label= 0.225329/0
predict case 163 , predict result/given label= 0.536881/0
predict case 164 , predict result/given label= 0.174796/0
predict case 165 , predict result/given label= 0.551145/0
predict case 166 , predict result/given label= 0.520372/0
predict case 167 , predict result/given label= 0.334995/0
predict case 168 , predict result/given label= 0.195623/0
predict case 169 , predict result/given label= 0.292857/0
predict case 170 , predict result/given label= 0.259264/0
predict case 171 , predict result/given label= 0.337483/0
predict case 172 , predict result/given label= 0.216189/0
predict case 173 , predict result/given label= 0.807751/0
predict case 174 , predict result/given label= 0.074957/0
predict case 175 , predict result/given label= 0.801484/0
predict case 176 , predict result/given label= 0.110755/0
predict case 177 , predict result/given label= 0.333651/0
