predict case 0 , predict result/given label= 0.443662/1
predict case 1 , predict result/given label= 0.594145/1
predict case 2 , predict result/given label= 0.721545/1
predict case 3 , predict result/given label= 0.295367/1
predict case 4 , predict result/given label= 0.143946/1
predict case 5 , predict result/given label= 0.695972/1
predict case 6 , predict result/given label= 0.804446/1
predict case 7 , predict result/given label= 0.378904/1
predict case 8 , predict result/given label= 0.447946/1
predict case 9 , predict result/given label= 0.584863/1
predict case 10 , predict result/given label= 0.632530/1
predict case 11 , predict result/given label= 0.451441/1
predict case 12 , predict result/given label= 0.488651/1
predict case 13 , predict result/given label= 0.844757/1
predict case 14 , predict result/given label= 0.249472/1
predict case 15 , predict result/given label= 0.599706/1
predict case 16 , predict result/given label= 0.683278/1
predict case 17 , predict result/given label= 0.727583/1
predict case 18 , predict result/given label= 0.581821/1
predict case 19 , predict result/given label= 0.393931/1
predict case 20 , predict result/given label= 0.563977/1
predict case 21 , predict result/given label= 0.461151/1
predict case 22 , predict result/given label= 0.354145/1
predict case 23 , predict result/given label= 0.569932/1
predict case 24 , predict result/given label= 0.864064/1
predict case 25 , predict result/given label= 0.909889/1
predict case 26 , predict result/given label= 0.582571/1
predict case 27 , predict result/given label= 0.741670/1
predict case 28 , predict result/given label= 0.925052/1
predict case 29 , predict result/given label= 0.340442/1
predict case 30 , predict result/given label= 0.605133/1
predict case 31 , predict result/given label= 0.850837/1
predict case 32 , predict result/given label= 0.607127/1
predict case 33 , predict result/given label= 0.653619/1
predict case 34 , predict result/given label= 0.425028/1
predict case 35 , predict result/given label= 0.821597/1
predict case 36 , predict result/given label= 0.664647/1
predict case 37 , predict result/given label= 0.905661/1
predict case 38 , predict result/given label= 0.447489/1
predict case 39 , predict result/given label= 0.425732/1
predict case 40 , predict result/given label= 0.754738/1
predict case 41 , predict result/given label= 0.761783/1
predict case 42 , predict result/given label= 0.556847/1
predict case 43 , predict result/given label= 0.502283/1
predict case 44 , predict result/given label= 0.348363/1
predict case 45 , predict result/given label= 0.383853/1
predict case 46 , predict result/given label= 0.607586/1
predict case 47 , predict result/given label= 0.174972/1
predict case 48 , predict result/given label= 0.432514/1
predict case 49 , predict result/given label= 0.834286/1
predict case 50 , predict result/given label= 0.551863/1
predict case 51 , predict result/given label= 0.226762/1
predict case 52 , predict result/given label= 0.748528/1
predict case 53 , predict result/given label= 0.750418/1
predict case 54 , predict result/given label= 0.597798/1
predict case 55 , predict result/given label= 0.842444/1
predict case 56 , predict result/given label= 0.899816/1
predict case 57 , predict result/given label= 0.674586/1
predict case 58 , predict result/given label= 0.499469/1
predict case 59 , predict result/given label= 0.520383/1
predict case 60 , predict result/given label= 0.212842/1
predict case 61 , predict result/given label= 0.483666/1
predict case 62 , predict result/given label= 0.624551/1
predict case 63 , predict result/given label= 0.572145/1
predict case 64 , predict result/given label= 0.752315/1
predict case 65 , predict result/given label= 0.504140/1
predict case 66 , predict result/given label= 0.274344/1
predict case 67 , predict result/given label= 0.715673/1
predict case 68 , predict result/given label= 0.787446/1
predict case 69 , predict result/given label= 0.205345/1
predict case 70 , predict result/given label= 0.603908/1
predict case 71 , predict result/given label= 0.431937/1
predict case 72 , predict result/given label= 0.704081/1
predict case 73 , predict result/given label= 0.860557/1
predict case 74 , predict result/given label= 0.812552/1
predict case 75 , predict result/given label= 0.424977/1
predict case 76 , predict result/given label= 0.568790/1
predict case 77 , predict result/given label= 0.204078/1
predict case 78 , predict result/given label= 0.607209/1
predict case 79 , predict result/given label= 0.716296/1
predict case 80 , predict result/given label= 0.449096/1
predict case 81 , predict result/given label= 0.423152/1
predict case 82 , predict result/given label= 0.755657/1
predict case 83 , predict result/given label= 0.152318/1
predict case 84 , predict result/given label= 0.215587/1
predict case 85 , predict result/given label= 0.435627/1
predict case 86 , predict result/given label= 0.922822/1
predict case 87 , predict result/given label= 0.479135/1
predict case 88 , predict result/given label= 0.276538/1
predict case 89 , predict result/given label= 0.310407/0
predict case 90 , predict result/given label= 0.684760/0
predict case 91 , predict result/given label= 0.338019/0
predict case 92 , predict result/given label= 0.539745/0
predict case 93 , predict result/given label= 0.143264/0
predict case 94 , predict result/given label= 0.406564/0
predict case 95 , predict result/given label= 0.213610/0
predict case 96 , predict result/given label= 0.205053/0
predict case 97 , predict result/given label= 0.552500/0
predict case 98 , predict result/given label= 0.286345/0
predict case 99 , predict result/given label= 0.650556/0
predict case 100 , predict result/given label= 0.428209/0
predict case 101 , predict result/given label= 0.417747/0
predict case 102 , predict result/given label= 0.700917/0
predict case 103 , predict result/given label= 0.443246/0
