predict case 0 , predict result/given label= 0.386436/1
predict case 1 , predict result/given label= 0.855534/1
predict case 2 , predict result/given label= 0.900625/1
predict case 3 , predict result/given label= 0.654140/1
predict case 4 , predict result/given label= 0.446700/1
predict case 5 , predict result/given label= 0.929466/1
predict case 6 , predict result/given label= 0.163081/1
predict case 7 , predict result/given label= 0.910358/1
predict case 8 , predict result/given label= 0.294769/1
predict case 9 , predict result/given label= 0.867588/1
predict case 10 , predict result/given label= 0.898879/1
predict case 11 , predict result/given label= 0.854525/1
predict case 12 , predict result/given label= 0.767717/1
predict case 13 , predict result/given label= 0.703911/1
predict case 14 , predict result/given label= 0.767417/1
predict case 15 , predict result/given label= 0.926657/1
predict case 16 , predict result/given label= 0.674148/1
predict case 17 , predict result/given label= 0.397051/1
predict case 18 , predict result/given label= 0.812766/1
predict case 19 , predict result/given label= 0.262722/1
predict case 20 , predict result/given label= 0.307440/1
predict case 21 , predict result/given label= 0.663420/1
predict case 22 , predict result/given label= 0.690492/1
predict case 23 , predict result/given label= 0.594137/1
predict case 24 , predict result/given label= 0.861988/1
predict case 25 , predict result/given label= 0.552740/1
predict case 26 , predict result/given label= 0.628031/1
predict case 27 , predict result/given label= 0.287556/1
predict case 28 , predict result/given label= 0.473119/1
predict case 29 , predict result/given label= 0.704298/1
predict case 30 , predict result/given label= 0.375539/1
predict case 31 , predict result/given label= 0.773227/1
predict case 32 , predict result/given label= 0.912653/1
predict case 33 , predict result/given label= 0.910295/1
predict case 34 , predict result/given label= 0.925859/1
predict case 35 , predict result/given label= 0.562362/1
predict case 36 , predict result/given label= 0.735138/1
predict case 37 , predict result/given label= 0.491902/1
predict case 38 , predict result/given label= 0.377752/1
predict case 39 , predict result/given label= 0.717372/1
predict case 40 , predict result/given label= 0.384819/1
predict case 41 , predict result/given label= 0.439703/1
predict case 42 , predict result/given label= 0.139104/1
predict case 43 , predict result/given label= 0.833313/1
predict case 44 , predict result/given label= 0.664952/1
predict case 45 , predict result/given label= 0.511491/1
predict case 46 , predict result/given label= 0.926040/1
predict case 47 , predict result/given label= 0.929906/1
predict case 48 , predict result/given label= 0.302211/1
predict case 49 , predict result/given label= 0.863484/1
predict case 50 , predict result/given label= 0.479483/1
predict case 51 , predict result/given label= 0.227675/1
predict case 52 , predict result/given label= 0.369394/1
predict case 53 , predict result/given label= 0.925340/1
predict case 54 , predict result/given label= 0.864085/1
predict case 55 , predict result/given label= 0.395799/1
predict case 56 , predict result/given label= 0.438941/1
predict case 57 , predict result/given label= 0.609988/1
predict case 58 , predict result/given label= 0.685855/1
predict case 59 , predict result/given label= 0.745743/1
predict case 60 , predict result/given label= 0.141355/1
predict case 61 , predict result/given label= 0.330840/1
predict case 62 , predict result/given label= 0.392452/1
predict case 63 , predict result/given label= 0.697363/1
predict case 64 , predict result/given label= 0.226559/1
predict case 65 , predict result/given label= 0.905439/1
