predict case 0 , predict result/given label= 0.784119/1
predict case 1 , predict result/given label= 0.523989/1
predict case 2 , predict result/given label= 0.665971/1
predict case 3 , predict result/given label= 0.242439/1
predict case 4 , predict result/given label= 0.519145/1
predict case 5 , predict result/given label= 0.407620/1
predict case 6 , predict result/given label= 0.295616/1
predict case 7 , predict result/given label= 0.914687/1
predict case 8 , predict result/given label= 0.090843/1
predict case 9 , predict result/given label= 0.598572/1
predict case 10 , predict result/given label= 0.819418/1
predict case 11 , predict result/given label= 0.782419/1
predict case 12 , predict result/given label= 0.705282/1
predict case 13 , predict result/given label= 0.492669/1
predict case 14 , predict result/given label= 0.174556/1
predict case 15 , predict result/given label= 0.401411/1
predict case 16 , predict result/given label= 0.816346/1
predict case 17 , predict result/given label= 0.574701/1
predict case 18 , predict result/given label= 0.675321/1
predict case 19 , predict result/given label= 0.421752/1
predict case 20 , predict result/given label= 0.358282/1
predict case 21 , predict result/given label= 0.868555/1
predict case 22 , predict result/given label= 0.198723/1
predict case 23 , predict result/given label= 0.093905/1
predict case 24 , predict result/given label= 0.126328/1
predict case 25 , predict result/given label= 0.625331/1
predict case 26 , predict result/given label= 0.149624/1
predict case 27 , predict result/given label= 0.290108/1
predict case 28 , predict result/given label= 0.699298/1
predict case 29 , predict result/given label= 0.490497/1
predict case 30 , predict result/given label= 0.910061/1
predict case 31 , predict result/given label= 0.480199/1
predict case 32 , predict result/given label= 0.732835/1
predict case 33 , predict result/given label= 0.853651/1
predict case 34 , predict result/given label= 0.175950/1
predict case 35 , predict result/given label= 0.539526/1
predict case 36 , predict result/given label= 0.795216/1
predict case 37 , predict result/given label= 0.273270/1
predict case 38 , predict result/given label= 0.455395/1
predict case 39 , predict result/given label= 0.352674/1
predict case 40 , predict result/given label= 0.438197/1
predict case 41 , predict result/given label= 0.440958/1
predict case 42 , predict result/given label= 0.814033/1
predict case 43 , predict result/given label= 0.863482/1
predict case 44 , predict result/given label= 0.623847/1
predict case 45 , predict result/given label= 0.747438/1
predict case 46 , predict result/given label= 0.461147/1
predict case 47 , predict result/given label= 0.355012/1
predict case 48 , predict result/given label= 0.776582/1
predict case 49 , predict result/given label= 0.699261/1
predict case 50 , predict result/given label= 0.413467/1
predict case 51 , predict result/given label= 0.430067/1
predict case 52 , predict result/given label= 0.486982/1
predict case 53 , predict result/given label= 0.510733/1
predict case 54 , predict result/given label= 0.299813/1
