predict case 0 , predict result/given label= 0.073898/1
predict case 1 , predict result/given label= 0.099741/1
predict case 2 , predict result/given label= 0.373300/1
predict case 3 , predict result/given label= 0.211539/1
predict case 4 , predict result/given label= 0.364068/1
predict case 5 , predict result/given label= 0.166884/1
predict case 6 , predict result/given label= 0.706462/1
predict case 7 , predict result/given label= 0.511277/1
predict case 8 , predict result/given label= 0.896491/1
predict case 9 , predict result/given label= 0.626469/1
predict case 10 , predict result/given label= 0.636159/1
predict case 11 , predict result/given label= 0.877771/1
predict case 12 , predict result/given label= 0.071139/1
predict case 13 , predict result/given label= 0.074008/1
predict case 14 , predict result/given label= 0.813711/1
predict case 15 , predict result/given label= 0.067204/1
predict case 16 , predict result/given label= 0.927718/1
predict case 17 , predict result/given label= 0.651291/1
predict case 18 , predict result/given label= 0.379258/1
predict case 19 , predict result/given label= 0.421453/1
predict case 20 , predict result/given label= 0.102791/1
predict case 21 , predict result/given label= 0.790809/1
predict case 22 , predict result/given label= 0.075191/1
predict case 23 , predict result/given label= 0.813362/1
predict case 24 , predict result/given label= 0.272411/1
predict case 25 , predict result/given label= 0.074053/1
predict case 26 , predict result/given label= 0.718866/1
predict case 27 , predict result/given label= 0.444902/1
predict case 28 , predict result/given label= 0.312132/1
predict case 29 , predict result/given label= 0.073341/1
predict case 30 , predict result/given label= 0.075272/1
predict case 31 , predict result/given label= 0.170871/1
predict case 32 , predict result/given label= 0.109095/1
predict case 33 , predict result/given label= 0.389021/1
predict case 34 , predict result/given label= 0.169396/1
predict case 35 , predict result/given label= 0.455929/1
predict case 36 , predict result/given label= 0.142489/1
predict case 37 , predict result/given label= 0.564410/1
predict case 38 , predict result/given label= 0.130796/1
predict case 39 , predict result/given label= 0.645256/1
predict case 40 , predict result/given label= 0.670580/1
predict case 41 , predict result/given label= 0.070813/1
predict case 42 , predict result/given label= 0.064839/1
predict case 43 , predict result/given label= 0.404291/1
predict case 44 , predict result/given label= 0.448890/1
predict case 45 , predict result/given label= 0.102584/1
predict case 46 , predict result/given label= 0.316071/0
predict case 47 , predict result/given label= 0.388727/0
predict case 48 , predict result/given label= 0.230829/0
predict case 49 , predict result/given label= 0.069207/0
predict case 50 , predict result/given label= 0.081341/0
predict case 51 , predict result/given label= 0.230062/0
predict case 52 , predict result/given label= 0.321086/0
predict case 53 , predict result/given label= 0.070220/0
predict case 54 , predict result/given label= 0.074072/0
predict case 55 , predict result/given label= 0.418307/0
predict case 56 , predict result/given label= 0.070768/0
predict case 57 , predict result/given label= 0.360221/0
predict case 58 , predict result/given label= 0.704329/0
predict case 59 , predict result/given label= 0.070968/0
predict case 60 , predict result/given label= 0.342423/0
predict case 61 , predict result/given label= 0.635406/0
predict case 62 , predict result/given label= 0.075152/0
predict case 63 , predict result/given label= 0.099926/0
predict case 64 , predict result/given label= 0.070206/0
predict case 65 , predict result/given label= 0.401616/0
predict case 66 , predict result/given label= 0.635683/0
predict case 67 , predict result/given label= 0.573957/0
predict case 68 , predict result/given label= 0.361488/0
predict case 69 , predict result/given label= 0.094399/0
predict case 70 , predict result/given label= 0.140480/0
predict case 71 , predict result/given label= 0.174626/0
predict case 72 , predict result/given label= 0.072006/0
predict case 73 , predict result/given label= 0.100282/0
predict case 74 , predict result/given label= 0.851548/0
predict case 75 , predict result/given label= 0.328918/0
predict case 76 , predict result/given label= 0.608982/0
predict case 77 , predict result/given label= 0.435042/0
predict case 78 , predict result/given label= 0.081377/0
predict case 79 , predict result/given label= 0.175387/0
predict case 80 , predict result/given label= 0.323199/0
predict case 81 , predict result/given label= 0.089487/0
predict case 82 , predict result/given label= 0.071972/0
predict case 83 , predict result/given label= 0.082710/0
predict case 84 , predict result/given label= 0.652243/0
predict case 85 , predict result/given label= 0.568704/0
predict case 86 , predict result/given label= 0.429868/0
predict case 87 , predict result/given label= 0.628680/0
predict case 88 , predict result/given label= 0.097040/0
predict case 89 , predict result/given label= 0.069268/0
predict case 90 , predict result/given label= 0.106260/0
predict case 91 , predict result/given label= 0.074156/0
