predict case 0 , predict result/given label= 0.075322/1
predict case 1 , predict result/given label= 0.294289/1
predict case 2 , predict result/given label= 0.067374/1
predict case 3 , predict result/given label= 0.135266/1
predict case 4 , predict result/given label= 0.070368/1
predict case 5 , predict result/given label= 0.195824/1
predict case 6 , predict result/given label= 0.540942/1
predict case 7 , predict result/given label= 0.250440/1
predict case 8 , predict result/given label= 0.070446/1
predict case 9 , predict result/given label= 0.735315/1
predict case 10 , predict result/given label= 0.650205/1
predict case 11 , predict result/given label= 0.069870/1
predict case 12 , predict result/given label= 0.244265/1
predict case 13 , predict result/given label= 0.716547/1
predict case 14 , predict result/given label= 0.421551/1
predict case 15 , predict result/given label= 0.177120/1
predict case 16 , predict result/given label= 0.074650/1
predict case 17 , predict result/given label= 0.600363/1
predict case 18 , predict result/given label= 0.074088/1
predict case 19 , predict result/given label= 0.100494/1
predict case 20 , predict result/given label= 0.343271/1
predict case 21 , predict result/given label= 0.158491/1
predict case 22 , predict result/given label= 0.290850/1
predict case 23 , predict result/given label= 0.364835/1
predict case 24 , predict result/given label= 0.071861/1
predict case 25 , predict result/given label= 0.417913/1
predict case 26 , predict result/given label= 0.737005/1
predict case 27 , predict result/given label= 0.282909/1
predict case 28 , predict result/given label= 0.738020/1
predict case 29 , predict result/given label= 0.255516/1
predict case 30 , predict result/given label= 0.160971/1
predict case 31 , predict result/given label= 0.075336/1
predict case 32 , predict result/given label= 0.067672/1
predict case 33 , predict result/given label= 0.087456/1
predict case 34 , predict result/given label= 0.070357/1
predict case 35 , predict result/given label= 0.074642/1
predict case 36 , predict result/given label= 0.072657/1
predict case 37 , predict result/given label= 0.068944/1
predict case 38 , predict result/given label= 0.504580/1
predict case 39 , predict result/given label= 0.089109/1
predict case 40 , predict result/given label= 0.130977/1
predict case 41 , predict result/given label= 0.605358/1
predict case 42 , predict result/given label= 0.069966/1
predict case 43 , predict result/given label= 0.362251/1
predict case 44 , predict result/given label= 0.071222/1
predict case 45 , predict result/given label= 0.454170/1
predict case 46 , predict result/given label= 0.326333/1
predict case 47 , predict result/given label= 0.507713/1
predict case 48 , predict result/given label= 0.651560/1
predict case 49 , predict result/given label= 0.165837/1
predict case 50 , predict result/given label= 0.298570/1
predict case 51 , predict result/given label= 0.342261/1
predict case 52 , predict result/given label= 0.497863/1
predict case 53 , predict result/given label= 0.074098/1
predict case 54 , predict result/given label= 0.130176/1
predict case 55 , predict result/given label= 0.483701/1
predict case 56 , predict result/given label= 0.167439/1
predict case 57 , predict result/given label= 0.493632/1
predict case 58 , predict result/given label= 0.276991/1
predict case 59 , predict result/given label= 0.258616/1
predict case 60 , predict result/given label= 0.519547/1
predict case 61 , predict result/given label= 0.073173/1
predict case 62 , predict result/given label= 0.370179/1
predict case 63 , predict result/given label= 0.426986/1
predict case 64 , predict result/given label= 0.077459/1
predict case 65 , predict result/given label= 0.508314/1
predict case 66 , predict result/given label= 0.449114/1
predict case 67 , predict result/given label= 0.596077/1
predict case 68 , predict result/given label= 0.089833/1
predict case 69 , predict result/given label= 0.282820/1
predict case 70 , predict result/given label= 0.073149/1
predict case 71 , predict result/given label= 0.525439/1
predict case 72 , predict result/given label= 0.075252/1
predict case 73 , predict result/given label= 0.081294/1
predict case 74 , predict result/given label= 0.075928/1
predict case 75 , predict result/given label= 0.069492/1
predict case 76 , predict result/given label= 0.414866/1
predict case 77 , predict result/given label= 0.424353/1
predict case 78 , predict result/given label= 0.072030/1
predict case 79 , predict result/given label= 0.162565/1
predict case 80 , predict result/given label= 0.078283/1
predict case 81 , predict result/given label= 0.216726/1
predict case 82 , predict result/given label= 0.075093/1
predict case 83 , predict result/given label= 0.074635/1
predict case 84 , predict result/given label= 0.236053/1
predict case 85 , predict result/given label= 0.574982/1
predict case 86 , predict result/given label= 0.374056/1
predict case 87 , predict result/given label= 0.208966/1
predict case 88 , predict result/given label= 0.228882/1
predict case 89 , predict result/given label= 0.075603/1
predict case 90 , predict result/given label= 0.575190/1
predict case 91 , predict result/given label= 0.507856/1
predict case 92 , predict result/given label= 0.379876/1
predict case 93 , predict result/given label= 0.256486/1
predict case 94 , predict result/given label= 0.654785/1
predict case 95 , predict result/given label= 0.072162/1
predict case 96 , predict result/given label= 0.093179/1
predict case 97 , predict result/given label= 0.385256/1
predict case 98 , predict result/given label= 0.350897/1
predict case 99 , predict result/given label= 0.112169/1
predict case 100 , predict result/given label= 0.079613/1
predict case 101 , predict result/given label= 0.639678/1
predict case 102 , predict result/given label= 0.742579/1
predict case 103 , predict result/given label= 0.128570/1
predict case 104 , predict result/given label= 0.075296/1
predict case 105 , predict result/given label= 0.080879/1
predict case 106 , predict result/given label= 0.298671/1
predict case 107 , predict result/given label= 0.075453/0
predict case 108 , predict result/given label= 0.498851/0
predict case 109 , predict result/given label= 0.598026/0
predict case 110 , predict result/given label= 0.594301/0
predict case 111 , predict result/given label= 0.383935/0
predict case 112 , predict result/given label= 0.273069/0
predict case 113 , predict result/given label= 0.460830/0
predict case 114 , predict result/given label= 0.496997/0
predict case 115 , predict result/given label= 0.314887/0
predict case 116 , predict result/given label= 0.276442/0
predict case 117 , predict result/given label= 0.075817/0
predict case 118 , predict result/given label= 0.493633/0
predict case 119 , predict result/given label= 0.069880/0
predict case 120 , predict result/given label= 0.070575/0
predict case 121 , predict result/given label= 0.075622/0
predict case 122 , predict result/given label= 0.492618/0
predict case 123 , predict result/given label= 0.593276/0
predict case 124 , predict result/given label= 0.543410/0
predict case 125 , predict result/given label= 0.386577/0
predict case 126 , predict result/given label= 0.081125/0
predict case 127 , predict result/given label= 0.574431/0
predict case 128 , predict result/given label= 0.069880/0
predict case 129 , predict result/given label= 0.441907/0
predict case 130 , predict result/given label= 0.249090/0
predict case 131 , predict result/given label= 0.070192/0
predict case 132 , predict result/given label= 0.075028/0
predict case 133 , predict result/given label= 0.371789/0
predict case 134 , predict result/given label= 0.290100/0
