predict case 0 , predict result/given label= 0.090508/1
predict case 1 , predict result/given label= 0.074795/1
predict case 2 , predict result/given label= 0.187689/1
predict case 3 , predict result/given label= 0.131304/1
predict case 4 , predict result/given label= 0.602994/1
predict case 5 , predict result/given label= 0.428398/1
predict case 6 , predict result/given label= 0.422191/1
predict case 7 , predict result/given label= 0.742887/1
predict case 8 , predict result/given label= 0.758137/1
predict case 9 , predict result/given label= 0.750066/1
predict case 10 , predict result/given label= 0.361888/1
predict case 11 , predict result/given label= 0.870825/1
predict case 12 , predict result/given label= 0.201286/1
predict case 13 , predict result/given label= 0.679282/1
predict case 14 , predict result/given label= 0.331627/1
predict case 15 , predict result/given label= 0.369454/1
predict case 16 , predict result/given label= 0.223571/1
predict case 17 , predict result/given label= 0.333184/1
predict case 18 , predict result/given label= 0.452007/1
predict case 19 , predict result/given label= 0.074900/1
predict case 20 , predict result/given label= 0.769388/1
predict case 21 , predict result/given label= 0.495660/1
predict case 22 , predict result/given label= 0.676241/1
predict case 23 , predict result/given label= 0.763023/1
predict case 24 , predict result/given label= 0.548611/1
predict case 25 , predict result/given label= 0.473529/1
predict case 26 , predict result/given label= 0.245347/1
predict case 27 , predict result/given label= 0.912359/1
predict case 28 , predict result/given label= 0.916760/1
predict case 29 , predict result/given label= 0.572077/1
predict case 30 , predict result/given label= 0.087045/1
predict case 31 , predict result/given label= 0.280952/1
predict case 32 , predict result/given label= 0.453852/1
predict case 33 , predict result/given label= 0.795184/1
predict case 34 , predict result/given label= 0.231259/1
predict case 35 , predict result/given label= 0.392247/1
predict case 36 , predict result/given label= 0.900816/1
predict case 37 , predict result/given label= 0.414669/1
predict case 38 , predict result/given label= 0.532442/1
predict case 39 , predict result/given label= 0.512145/1
predict case 40 , predict result/given label= 0.218564/1
predict case 41 , predict result/given label= 0.602204/1
predict case 42 , predict result/given label= 0.679858/1
predict case 43 , predict result/given label= 0.573781/1
predict case 44 , predict result/given label= 0.675678/1
predict case 45 , predict result/given label= 0.576483/1
predict case 46 , predict result/given label= 0.618012/1
predict case 47 , predict result/given label= 0.576159/1
predict case 48 , predict result/given label= 0.678649/1
predict case 49 , predict result/given label= 0.361828/1
predict case 50 , predict result/given label= 0.363549/1
predict case 51 , predict result/given label= 0.593012/1
predict case 52 , predict result/given label= 0.670890/1
predict case 53 , predict result/given label= 0.885585/1
predict case 54 , predict result/given label= 0.321074/1
predict case 55 , predict result/given label= 0.405359/1
predict case 56 , predict result/given label= 0.843016/1
predict case 57 , predict result/given label= 0.244451/1
predict case 58 , predict result/given label= 0.742522/1
predict case 59 , predict result/given label= 0.188490/1
predict case 60 , predict result/given label= 0.335115/1
predict case 61 , predict result/given label= 0.673121/1
predict case 62 , predict result/given label= 0.906535/1
predict case 63 , predict result/given label= 0.676372/1
predict case 64 , predict result/given label= 0.641085/1
predict case 65 , predict result/given label= 0.249775/1
predict case 66 , predict result/given label= 0.365403/1
predict case 67 , predict result/given label= 0.537384/1
predict case 68 , predict result/given label= 0.765874/1
predict case 69 , predict result/given label= 0.887130/1
predict case 70 , predict result/given label= 0.087229/1
predict case 71 , predict result/given label= 0.132029/1
predict case 72 , predict result/given label= 0.766050/1
predict case 73 , predict result/given label= 0.343670/1
predict case 74 , predict result/given label= 0.869854/1
predict case 75 , predict result/given label= 0.627031/1
predict case 76 , predict result/given label= 0.389584/1
predict case 77 , predict result/given label= 0.649237/1
predict case 78 , predict result/given label= 0.730013/1
predict case 79 , predict result/given label= 0.378029/1
predict case 80 , predict result/given label= 0.450341/1
predict case 81 , predict result/given label= 0.679301/1
predict case 82 , predict result/given label= 0.474276/1
predict case 83 , predict result/given label= 0.136753/1
predict case 84 , predict result/given label= 0.276435/1
predict case 85 , predict result/given label= 0.097801/1
predict case 86 , predict result/given label= 0.486944/1
predict case 87 , predict result/given label= 0.910756/1
predict case 88 , predict result/given label= 0.621069/1
predict case 89 , predict result/given label= 0.463418/1
predict case 90 , predict result/given label= 0.644371/1
predict case 91 , predict result/given label= 0.490075/1
predict case 92 , predict result/given label= 0.821151/1
predict case 93 , predict result/given label= 0.461854/1
predict case 94 , predict result/given label= 0.886814/1
predict case 95 , predict result/given label= 0.299412/1
predict case 96 , predict result/given label= 0.853453/1
predict case 97 , predict result/given label= 0.680513/1
predict case 98 , predict result/given label= 0.149336/1
predict case 99 , predict result/given label= 0.439552/1
predict case 100 , predict result/given label= 0.344271/1
predict case 101 , predict result/given label= 0.460927/1
predict case 102 , predict result/given label= 0.235740/1
predict case 103 , predict result/given label= 0.643866/1
predict case 104 , predict result/given label= 0.352059/1
predict case 105 , predict result/given label= 0.207728/1
predict case 106 , predict result/given label= 0.784800/1
predict case 107 , predict result/given label= 0.091764/0
predict case 108 , predict result/given label= 0.581890/0
predict case 109 , predict result/given label= 0.575784/0
predict case 110 , predict result/given label= 0.131351/0
predict case 111 , predict result/given label= 0.706831/0
predict case 112 , predict result/given label= 0.495318/0
predict case 113 , predict result/given label= 0.256999/0
predict case 114 , predict result/given label= 0.416592/0
predict case 115 , predict result/given label= 0.175181/0
predict case 116 , predict result/given label= 0.678638/0
predict case 117 , predict result/given label= 0.074830/0
predict case 118 , predict result/given label= 0.474348/0
predict case 119 , predict result/given label= 0.429731/0
predict case 120 , predict result/given label= 0.476337/0
