predict case 0 , predict result/given label= 0.308250/1
predict case 1 , predict result/given label= 0.860978/1
predict case 2 , predict result/given label= 0.927573/1
predict case 3 , predict result/given label= 0.927985/1
predict case 4 , predict result/given label= 0.304432/1
predict case 5 , predict result/given label= 0.353356/1
predict case 6 , predict result/given label= 0.563046/1
predict case 7 , predict result/given label= 0.755275/1
predict case 8 , predict result/given label= 0.578381/1
predict case 9 , predict result/given label= 0.816952/1
predict case 10 , predict result/given label= 0.763240/1
predict case 11 , predict result/given label= 0.392451/1
predict case 12 , predict result/given label= 0.226769/1
predict case 13 , predict result/given label= 0.104033/1
predict case 14 , predict result/given label= 0.794523/1
predict case 15 , predict result/given label= 0.316844/1
predict case 16 , predict result/given label= 0.631010/1
predict case 17 , predict result/given label= 0.760549/1
predict case 18 , predict result/given label= 0.662556/1
predict case 19 , predict result/given label= 0.329264/1
predict case 20 , predict result/given label= 0.645176/1
predict case 21 , predict result/given label= 0.556980/1
predict case 22 , predict result/given label= 0.658075/1
predict case 23 , predict result/given label= 0.557880/1
predict case 24 , predict result/given label= 0.360583/1
predict case 25 , predict result/given label= 0.738010/1
predict case 26 , predict result/given label= 0.204358/1
predict case 27 , predict result/given label= 0.723851/1
predict case 28 , predict result/given label= 0.908419/1
predict case 29 , predict result/given label= 0.907821/1
predict case 30 , predict result/given label= 0.635347/1
predict case 31 , predict result/given label= 0.927876/1
predict case 32 , predict result/given label= 0.832357/1
predict case 33 , predict result/given label= 0.382178/1
predict case 34 , predict result/given label= 0.165290/1
predict case 35 , predict result/given label= 0.918455/1
predict case 36 , predict result/given label= 0.309017/1
predict case 37 , predict result/given label= 0.579612/1
predict case 38 , predict result/given label= 0.335305/1
predict case 39 , predict result/given label= 0.820131/1
predict case 40 , predict result/given label= 0.835197/1
predict case 41 , predict result/given label= 0.805986/1
predict case 42 , predict result/given label= 0.358409/1
predict case 43 , predict result/given label= 0.863805/1
predict case 44 , predict result/given label= 0.548512/1
predict case 45 , predict result/given label= 0.074613/1
predict case 46 , predict result/given label= 0.660705/1
predict case 47 , predict result/given label= 0.627229/1
