predict case 0 , predict result/given label= 0.426720/1
predict case 1 , predict result/given label= 0.764311/1
predict case 2 , predict result/given label= 0.077930/1
predict case 3 , predict result/given label= 0.074965/1
predict case 4 , predict result/given label= 0.539600/1
predict case 5 , predict result/given label= 0.726434/1
predict case 6 , predict result/given label= 0.653022/1
predict case 7 , predict result/given label= 0.583594/1
predict case 8 , predict result/given label= 0.402692/1
predict case 9 , predict result/given label= 0.139706/1
predict case 10 , predict result/given label= 0.754376/1
predict case 11 , predict result/given label= 0.845566/1
predict case 12 , predict result/given label= 0.764675/1
predict case 13 , predict result/given label= 0.391426/1
predict case 14 , predict result/given label= 0.559269/1
predict case 15 , predict result/given label= 0.494637/1
predict case 16 , predict result/given label= 0.225051/1
predict case 17 , predict result/given label= 0.402737/1
predict case 18 , predict result/given label= 0.339077/1
predict case 19 , predict result/given label= 0.180056/1
predict case 20 , predict result/given label= 0.252649/1
predict case 21 , predict result/given label= 0.705117/1
predict case 22 , predict result/given label= 0.203033/1
predict case 23 , predict result/given label= 0.422857/1
predict case 24 , predict result/given label= 0.500000/1
predict case 25 , predict result/given label= 0.328040/1
predict case 26 , predict result/given label= 0.208298/1
predict case 27 , predict result/given label= 0.503337/1
predict case 28 , predict result/given label= 0.650794/1
predict case 29 , predict result/given label= 0.638493/1
predict case 30 , predict result/given label= 0.581373/1
predict case 31 , predict result/given label= 0.492920/1
predict case 32 , predict result/given label= 0.557085/1
predict case 33 , predict result/given label= 0.126670/1
predict case 34 , predict result/given label= 0.586684/1
predict case 35 , predict result/given label= 0.188002/1
predict case 36 , predict result/given label= 0.456898/1
predict case 37 , predict result/given label= 0.472884/1
predict case 38 , predict result/given label= 0.347502/1
predict case 39 , predict result/given label= 0.592623/1
predict case 40 , predict result/given label= 0.067750/1
predict case 41 , predict result/given label= 0.069454/1
predict case 42 , predict result/given label= 0.580987/1
predict case 43 , predict result/given label= 0.557491/1
predict case 44 , predict result/given label= 0.073223/1
predict case 45 , predict result/given label= 0.820679/1
predict case 46 , predict result/given label= 0.313709/1
predict case 47 , predict result/given label= 0.657648/1
predict case 48 , predict result/given label= 0.376906/1
predict case 49 , predict result/given label= 0.734662/1
predict case 50 , predict result/given label= 0.074619/1
predict case 51 , predict result/given label= 0.648096/1
predict case 52 , predict result/given label= 0.469356/1
predict case 53 , predict result/given label= 0.699607/1
predict case 54 , predict result/given label= 0.298739/1
predict case 55 , predict result/given label= 0.344364/1
predict case 56 , predict result/given label= 0.421202/1
predict case 57 , predict result/given label= 0.115771/1
predict case 58 , predict result/given label= 0.438349/1
predict case 59 , predict result/given label= 0.245014/1
predict case 60 , predict result/given label= 0.586215/1
predict case 61 , predict result/given label= 0.416625/1
predict case 62 , predict result/given label= 0.444696/1
predict case 63 , predict result/given label= 0.649765/1
predict case 64 , predict result/given label= 0.710491/1
predict case 65 , predict result/given label= 0.859585/1
predict case 66 , predict result/given label= 0.676218/1
predict case 67 , predict result/given label= 0.075839/1
predict case 68 , predict result/given label= 0.078036/1
predict case 69 , predict result/given label= 0.705785/1
predict case 70 , predict result/given label= 0.316334/1
predict case 71 , predict result/given label= 0.406870/1
predict case 72 , predict result/given label= 0.520268/1
predict case 73 , predict result/given label= 0.616543/1
predict case 74 , predict result/given label= 0.537184/1
predict case 75 , predict result/given label= 0.362551/1
predict case 76 , predict result/given label= 0.773310/1
predict case 77 , predict result/given label= 0.564077/1
predict case 78 , predict result/given label= 0.656474/1
predict case 79 , predict result/given label= 0.065785/1
predict case 80 , predict result/given label= 0.596316/1
predict case 81 , predict result/given label= 0.654893/1
predict case 82 , predict result/given label= 0.547110/1
predict case 83 , predict result/given label= 0.663822/1
predict case 84 , predict result/given label= 0.332781/1
predict case 85 , predict result/given label= 0.442729/1
predict case 86 , predict result/given label= 0.608639/1
predict case 87 , predict result/given label= 0.562875/1
predict case 88 , predict result/given label= 0.139290/1
predict case 89 , predict result/given label= 0.387969/1
predict case 90 , predict result/given label= 0.093377/1
predict case 91 , predict result/given label= 0.478342/1
predict case 92 , predict result/given label= 0.399763/1
predict case 93 , predict result/given label= 0.070143/1
predict case 94 , predict result/given label= 0.595110/1
predict case 95 , predict result/given label= 0.076001/1
predict case 96 , predict result/given label= 0.650204/1
predict case 97 , predict result/given label= 0.668324/1
predict case 98 , predict result/given label= 0.292513/1
predict case 99 , predict result/given label= 0.414861/1
predict case 100 , predict result/given label= 0.073140/1
predict case 101 , predict result/given label= 0.646344/1
predict case 102 , predict result/given label= 0.075625/1
predict case 103 , predict result/given label= 0.640030/1
predict case 104 , predict result/given label= 0.096145/1
predict case 105 , predict result/given label= 0.357415/1
predict case 106 , predict result/given label= 0.289623/1
predict case 107 , predict result/given label= 0.424852/0
predict case 108 , predict result/given label= 0.586991/0
predict case 109 , predict result/given label= 0.528048/0
predict case 110 , predict result/given label= 0.346505/0
predict case 111 , predict result/given label= 0.113681/0
predict case 112 , predict result/given label= 0.401699/0
predict case 113 , predict result/given label= 0.610799/0
predict case 114 , predict result/given label= 0.499587/0
predict case 115 , predict result/given label= 0.481280/0
predict case 116 , predict result/given label= 0.390233/0
predict case 117 , predict result/given label= 0.190510/0
predict case 118 , predict result/given label= 0.432867/0
predict case 119 , predict result/given label= 0.798773/0
predict case 120 , predict result/given label= 0.408432/0
predict case 121 , predict result/given label= 0.101544/0
predict case 122 , predict result/given label= 0.472846/0
predict case 123 , predict result/given label= 0.510109/0
predict case 124 , predict result/given label= 0.389365/0
predict case 125 , predict result/given label= 0.600877/0
predict case 126 , predict result/given label= 0.180339/0
predict case 127 , predict result/given label= 0.414880/0
predict case 128 , predict result/given label= 0.497962/0
predict case 129 , predict result/given label= 0.737240/0
predict case 130 , predict result/given label= 0.644216/0
predict case 131 , predict result/given label= 0.347931/0
predict case 132 , predict result/given label= 0.391573/0
predict case 133 , predict result/given label= 0.337033/0
predict case 134 , predict result/given label= 0.387740/0
predict case 135 , predict result/given label= 0.478512/0
predict case 136 , predict result/given label= 0.524737/0
predict case 137 , predict result/given label= 0.533421/0
predict case 138 , predict result/given label= 0.603414/0
predict case 139 , predict result/given label= 0.627275/0
predict case 140 , predict result/given label= 0.416779/0
predict case 141 , predict result/given label= 0.484519/0
predict case 142 , predict result/given label= 0.326082/0
predict case 143 , predict result/given label= 0.380224/0
predict case 144 , predict result/given label= 0.318480/0
predict case 145 , predict result/given label= 0.654526/0
predict case 146 , predict result/given label= 0.181096/0
predict case 147 , predict result/given label= 0.317034/0
predict case 148 , predict result/given label= 0.302832/0
predict case 149 , predict result/given label= 0.642461/0
predict case 150 , predict result/given label= 0.175053/0
predict case 151 , predict result/given label= 0.717601/0
predict case 152 , predict result/given label= 0.510116/0
predict case 153 , predict result/given label= 0.596035/0
predict case 154 , predict result/given label= 0.091118/0
predict case 155 , predict result/given label= 0.341270/0
predict case 156 , predict result/given label= 0.068319/0
predict case 157 , predict result/given label= 0.073852/0
predict case 158 , predict result/given label= 0.533341/0
predict case 159 , predict result/given label= 0.344572/0
predict case 160 , predict result/given label= 0.073864/0
predict case 161 , predict result/given label= 0.434081/0
predict case 162 , predict result/given label= 0.579659/0
predict case 163 , predict result/given label= 0.345992/0
predict case 164 , predict result/given label= 0.480054/0
predict case 165 , predict result/given label= 0.403501/0
predict case 166 , predict result/given label= 0.067198/0
predict case 167 , predict result/given label= 0.377706/0
predict case 168 , predict result/given label= 0.784785/0
predict case 169 , predict result/given label= 0.346247/0
predict case 170 , predict result/given label= 0.609563/0
predict case 171 , predict result/given label= 0.427180/0
predict case 172 , predict result/given label= 0.202999/0
predict case 173 , predict result/given label= 0.569116/0
predict case 174 , predict result/given label= 0.345443/0
predict case 175 , predict result/given label= 0.480019/0
predict case 176 , predict result/given label= 0.776048/0
predict case 177 , predict result/given label= 0.324403/0
predict case 178 , predict result/given label= 0.301786/0
predict case 179 , predict result/given label= 0.075270/0
predict case 180 , predict result/given label= 0.306786/0
predict case 181 , predict result/given label= 0.107226/0
predict case 182 , predict result/given label= 0.548227/0
predict case 183 , predict result/given label= 0.445839/0
predict case 184 , predict result/given label= 0.337278/0
predict case 185 , predict result/given label= 0.808724/0
predict case 186 , predict result/given label= 0.461260/0
predict case 187 , predict result/given label= 0.070840/0
predict case 188 , predict result/given label= 0.231145/0
predict case 189 , predict result/given label= 0.592276/0
predict case 190 , predict result/given label= 0.689677/0
predict case 191 , predict result/given label= 0.291721/0
predict case 192 , predict result/given label= 0.574328/0
predict case 193 , predict result/given label= 0.074874/0
predict case 194 , predict result/given label= 0.067074/0
predict case 195 , predict result/given label= 0.075198/0
predict case 196 , predict result/given label= 0.580509/0
predict case 197 , predict result/given label= 0.430617/0
predict case 198 , predict result/given label= 0.436676/0
predict case 199 , predict result/given label= 0.107239/0
predict case 200 , predict result/given label= 0.635361/0
predict case 201 , predict result/given label= 0.757702/0
predict case 202 , predict result/given label= 0.074860/0
predict case 203 , predict result/given label= 0.430500/0
predict case 204 , predict result/given label= 0.544582/0
predict case 205 , predict result/given label= 0.194403/0
predict case 206 , predict result/given label= 0.590662/0
predict case 207 , predict result/given label= 0.618385/0
predict case 208 , predict result/given label= 0.532618/0
predict case 209 , predict result/given label= 0.602412/0
predict case 210 , predict result/given label= 0.652395/0
predict case 211 , predict result/given label= 0.542709/0
predict case 212 , predict result/given label= 0.067276/0
predict case 213 , predict result/given label= 0.507562/0
