predict case 0 , predict result/given label= 0.410650/1
predict case 1 , predict result/given label= 0.797684/1
predict case 2 , predict result/given label= 0.573602/1
predict case 3 , predict result/given label= 0.554442/1
predict case 4 , predict result/given label= 0.882988/1
predict case 5 , predict result/given label= 0.310602/1
predict case 6 , predict result/given label= 0.368003/1
predict case 7 , predict result/given label= 0.925216/1
predict case 8 , predict result/given label= 0.412766/1
predict case 9 , predict result/given label= 0.353379/1
predict case 10 , predict result/given label= 0.799548/1
predict case 11 , predict result/given label= 0.295348/1
predict case 12 , predict result/given label= 0.926951/1
predict case 13 , predict result/given label= 0.678962/1
predict case 14 , predict result/given label= 0.762783/1
predict case 15 , predict result/given label= 0.910520/1
predict case 16 , predict result/given label= 0.556511/1
predict case 17 , predict result/given label= 0.237673/1
predict case 18 , predict result/given label= 0.283013/1
predict case 19 , predict result/given label= 0.930034/1
predict case 20 , predict result/given label= 0.452247/1
predict case 21 , predict result/given label= 0.320044/1
predict case 22 , predict result/given label= 0.924570/1
predict case 23 , predict result/given label= 0.884881/1
predict case 24 , predict result/given label= 0.825318/1
predict case 25 , predict result/given label= 0.808121/1
predict case 26 , predict result/given label= 0.905588/1
predict case 27 , predict result/given label= 0.269023/1
predict case 28 , predict result/given label= 0.812281/1
predict case 29 , predict result/given label= 0.768972/1
predict case 30 , predict result/given label= 0.926229/1
predict case 31 , predict result/given label= 0.269036/1
predict case 32 , predict result/given label= 0.882672/1
predict case 33 , predict result/given label= 0.814915/1
predict case 34 , predict result/given label= 0.620339/1
predict case 35 , predict result/given label= 0.294278/1
predict case 36 , predict result/given label= 0.873899/1
predict case 37 , predict result/given label= 0.653816/1
predict case 38 , predict result/given label= 0.874925/1
predict case 39 , predict result/given label= 0.573934/1
predict case 40 , predict result/given label= 0.814719/1
predict case 41 , predict result/given label= 0.831989/1
predict case 42 , predict result/given label= 0.737988/1
predict case 43 , predict result/given label= 0.310472/1
predict case 44 , predict result/given label= 0.327324/1
predict case 45 , predict result/given label= 0.405106/1
predict case 46 , predict result/given label= 0.830044/1
predict case 47 , predict result/given label= 0.703828/1
predict case 48 , predict result/given label= 0.404708/1
predict case 49 , predict result/given label= 0.879588/1
predict case 50 , predict result/given label= 0.289745/1
predict case 51 , predict result/given label= 0.897483/1
predict case 52 , predict result/given label= 0.473925/1
predict case 53 , predict result/given label= 0.434841/1
predict case 54 , predict result/given label= 0.662682/1
predict case 55 , predict result/given label= 0.447482/1
predict case 56 , predict result/given label= 0.513793/1
predict case 57 , predict result/given label= 0.721714/1
predict case 58 , predict result/given label= 0.392144/1
predict case 59 , predict result/given label= 0.926187/1
predict case 60 , predict result/given label= 0.873289/1
predict case 61 , predict result/given label= 0.639374/1
predict case 62 , predict result/given label= 0.354945/1
predict case 63 , predict result/given label= 0.660192/1
predict case 64 , predict result/given label= 0.874346/1
predict case 65 , predict result/given label= 0.829397/1
predict case 66 , predict result/given label= 0.815517/1
predict case 67 , predict result/given label= 0.338894/1
predict case 68 , predict result/given label= 0.852964/1
predict case 69 , predict result/given label= 0.441197/1
predict case 70 , predict result/given label= 0.841582/1
predict case 71 , predict result/given label= 0.222414/1
predict case 72 , predict result/given label= 0.352603/1
predict case 73 , predict result/given label= 0.352821/1
predict case 74 , predict result/given label= 0.475127/1
predict case 75 , predict result/given label= 0.380903/1
predict case 76 , predict result/given label= 0.876275/1
predict case 77 , predict result/given label= 0.444914/1
predict case 78 , predict result/given label= 0.787088/1
predict case 79 , predict result/given label= 0.482465/1
predict case 80 , predict result/given label= 0.529428/1
predict case 81 , predict result/given label= 0.581535/1
predict case 82 , predict result/given label= 0.376819/1
predict case 83 , predict result/given label= 0.817040/1
predict case 84 , predict result/given label= 0.487038/1
predict case 85 , predict result/given label= 0.681395/1
predict case 86 , predict result/given label= 0.235571/1
predict case 87 , predict result/given label= 0.816636/1
predict case 88 , predict result/given label= 0.718637/1
predict case 89 , predict result/given label= 0.925095/1
predict case 90 , predict result/given label= 0.519873/1
predict case 91 , predict result/given label= 0.932320/1
predict case 92 , predict result/given label= 0.751181/1
predict case 93 , predict result/given label= 0.548478/1
predict case 94 , predict result/given label= 0.810375/1
predict case 95 , predict result/given label= 0.842876/1
predict case 96 , predict result/given label= 0.898924/1
predict case 97 , predict result/given label= 0.170892/1
predict case 98 , predict result/given label= 0.474925/1
predict case 99 , predict result/given label= 0.496797/1
predict case 100 , predict result/given label= 0.883357/1
predict case 101 , predict result/given label= 0.928411/1
predict case 102 , predict result/given label= 0.475145/1
predict case 103 , predict result/given label= 0.484511/1
predict case 104 , predict result/given label= 0.320073/1
predict case 105 , predict result/given label= 0.837370/1
predict case 106 , predict result/given label= 0.441266/1
predict case 107 , predict result/given label= 0.453931/1
predict case 108 , predict result/given label= 0.821863/1
predict case 109 , predict result/given label= 0.514289/1
predict case 110 , predict result/given label= 0.388869/1
predict case 111 , predict result/given label= 0.679621/1
predict case 112 , predict result/given label= 0.412850/1
predict case 113 , predict result/given label= 0.928572/1
predict case 114 , predict result/given label= 0.652907/1
predict case 115 , predict result/given label= 0.420672/1
predict case 116 , predict result/given label= 0.924590/1
predict case 117 , predict result/given label= 0.213355/1
predict case 118 , predict result/given label= 0.898747/1
predict case 119 , predict result/given label= 0.738776/1
predict case 120 , predict result/given label= 0.702315/1
predict case 121 , predict result/given label= 0.454831/1
