predict case 0 , predict result/given label= 0.578230/1
predict case 1 , predict result/given label= 0.917637/1
predict case 2 , predict result/given label= 0.604887/1
predict case 3 , predict result/given label= 0.779922/1
predict case 4 , predict result/given label= 0.731257/1
predict case 5 , predict result/given label= 0.924379/1
predict case 6 , predict result/given label= 0.893257/1
predict case 7 , predict result/given label= 0.821593/1
predict case 8 , predict result/given label= 0.376019/1
predict case 9 , predict result/given label= 0.384486/1
predict case 10 , predict result/given label= 0.844400/1
predict case 11 , predict result/given label= 0.432853/1
predict case 12 , predict result/given label= 0.566672/1
predict case 13 , predict result/given label= 0.225895/1
predict case 14 , predict result/given label= 0.460126/1
predict case 15 , predict result/given label= 0.399457/1
predict case 16 , predict result/given label= 0.532447/1
predict case 17 , predict result/given label= 0.765999/1
predict case 18 , predict result/given label= 0.751159/1
predict case 19 , predict result/given label= 0.256407/1
predict case 20 , predict result/given label= 0.309193/1
predict case 21 , predict result/given label= 0.305836/1
predict case 22 , predict result/given label= 0.266770/1
predict case 23 , predict result/given label= 0.911679/1
predict case 24 , predict result/given label= 0.913799/1
predict case 25 , predict result/given label= 0.798039/1
predict case 26 , predict result/given label= 0.927533/1
predict case 27 , predict result/given label= 0.931002/1
predict case 28 , predict result/given label= 0.397698/1
predict case 29 , predict result/given label= 0.658403/1
predict case 30 , predict result/given label= 0.619767/1
predict case 31 , predict result/given label= 0.917336/1
predict case 32 , predict result/given label= 0.897948/1
predict case 33 , predict result/given label= 0.904934/1
predict case 34 , predict result/given label= 0.932492/1
predict case 35 , predict result/given label= 0.806257/1
predict case 36 , predict result/given label= 0.858243/1
predict case 37 , predict result/given label= 0.562802/1
predict case 38 , predict result/given label= 0.333032/1
predict case 39 , predict result/given label= 0.379161/1
predict case 40 , predict result/given label= 0.681278/1
predict case 41 , predict result/given label= 0.743457/1
predict case 42 , predict result/given label= 0.550923/1
predict case 43 , predict result/given label= 0.362854/1
predict case 44 , predict result/given label= 0.879554/1
predict case 45 , predict result/given label= 0.928716/1
predict case 46 , predict result/given label= 0.806583/1
predict case 47 , predict result/given label= 0.726964/1
predict case 48 , predict result/given label= 0.374899/1
predict case 49 , predict result/given label= 0.767359/1
predict case 50 , predict result/given label= 0.927510/1
predict case 51 , predict result/given label= 0.318192/1
predict case 52 , predict result/given label= 0.321410/1
predict case 53 , predict result/given label= 0.762243/1
predict case 54 , predict result/given label= 0.236604/1
predict case 55 , predict result/given label= 0.258491/1
predict case 56 , predict result/given label= 0.255694/1
predict case 57 , predict result/given label= 0.925592/1
predict case 58 , predict result/given label= 0.457372/1
predict case 59 , predict result/given label= 0.831131/1
predict case 60 , predict result/given label= 0.409285/1
predict case 61 , predict result/given label= 0.324186/1
predict case 62 , predict result/given label= 0.873469/1
predict case 63 , predict result/given label= 0.922524/1
predict case 64 , predict result/given label= 0.891891/1
predict case 65 , predict result/given label= 0.424337/1
predict case 66 , predict result/given label= 0.445517/1
predict case 67 , predict result/given label= 0.761284/1
predict case 68 , predict result/given label= 0.926288/1
predict case 69 , predict result/given label= 0.436244/1
predict case 70 , predict result/given label= 0.619232/1
predict case 71 , predict result/given label= 0.928591/1
predict case 72 , predict result/given label= 0.933970/1
predict case 73 , predict result/given label= 0.902471/1
predict case 74 , predict result/given label= 0.785450/1
predict case 75 , predict result/given label= 0.714481/1
predict case 76 , predict result/given label= 0.931893/1
predict case 77 , predict result/given label= 0.483869/1
predict case 78 , predict result/given label= 0.932459/1
predict case 79 , predict result/given label= 0.926205/1
predict case 80 , predict result/given label= 0.739934/1
predict case 81 , predict result/given label= 0.617201/1
predict case 82 , predict result/given label= 0.897235/1
predict case 83 , predict result/given label= 0.666053/1
predict case 84 , predict result/given label= 0.618035/1
predict case 85 , predict result/given label= 0.920260/1
predict case 86 , predict result/given label= 0.199881/1
predict case 87 , predict result/given label= 0.924197/1
predict case 88 , predict result/given label= 0.381501/1
predict case 89 , predict result/given label= 0.931045/1
predict case 90 , predict result/given label= 0.475568/1
predict case 91 , predict result/given label= 0.924537/1
predict case 92 , predict result/given label= 0.671859/1
predict case 93 , predict result/given label= 0.331921/1
predict case 94 , predict result/given label= 0.354446/1
predict case 95 , predict result/given label= 0.289242/1
predict case 96 , predict result/given label= 0.927479/1
predict case 97 , predict result/given label= 0.246322/1
predict case 98 , predict result/given label= 0.872968/1
predict case 99 , predict result/given label= 0.927009/1
predict case 100 , predict result/given label= 0.905861/1
predict case 101 , predict result/given label= 0.758305/1
predict case 102 , predict result/given label= 0.295058/1
predict case 103 , predict result/given label= 0.703563/1
predict case 104 , predict result/given label= 0.844854/1
predict case 105 , predict result/given label= 0.834707/1
predict case 106 , predict result/given label= 0.745038/1
predict case 107 , predict result/given label= 0.931001/1
predict case 108 , predict result/given label= 0.431580/1
predict case 109 , predict result/given label= 0.597543/1
predict case 110 , predict result/given label= 0.790559/1
predict case 111 , predict result/given label= 0.384428/1
predict case 112 , predict result/given label= 0.813892/1
predict case 113 , predict result/given label= 0.916374/1
predict case 114 , predict result/given label= 0.317957/1
predict case 115 , predict result/given label= 0.849317/1
predict case 116 , predict result/given label= 0.360801/1
predict case 117 , predict result/given label= 0.365209/1
predict case 118 , predict result/given label= 0.931050/1
predict case 119 , predict result/given label= 0.424352/1
predict case 120 , predict result/given label= 0.322785/1
predict case 121 , predict result/given label= 0.424984/1
predict case 122 , predict result/given label= 0.673646/1
predict case 123 , predict result/given label= 0.926006/1
predict case 124 , predict result/given label= 0.919852/1
predict case 125 , predict result/given label= 0.668268/1
predict case 126 , predict result/given label= 0.272358/1
predict case 127 , predict result/given label= 0.364291/1
predict case 128 , predict result/given label= 0.492111/1
predict case 129 , predict result/given label= 0.902803/1
predict case 130 , predict result/given label= 0.866724/1
predict case 131 , predict result/given label= 0.926047/1
predict case 132 , predict result/given label= 0.380503/1
predict case 133 , predict result/given label= 0.886124/1
predict case 134 , predict result/given label= 0.787071/1
predict case 135 , predict result/given label= 0.822811/1
predict case 136 , predict result/given label= 0.621642/1
predict case 137 , predict result/given label= 0.871364/1
predict case 138 , predict result/given label= 0.887165/1
predict case 139 , predict result/given label= 0.382798/1
predict case 140 , predict result/given label= 0.833884/1
predict case 141 , predict result/given label= 0.461063/1
predict case 142 , predict result/given label= 0.654600/1
predict case 143 , predict result/given label= 0.356823/1
predict case 144 , predict result/given label= 0.672906/1
predict case 145 , predict result/given label= 0.415943/1
predict case 146 , predict result/given label= 0.716882/1
predict case 147 , predict result/given label= 0.375017/1
predict case 148 , predict result/given label= 0.910165/1
predict case 149 , predict result/given label= 0.824222/1
predict case 150 , predict result/given label= 0.391993/1
predict case 151 , predict result/given label= 0.925674/1
predict case 152 , predict result/given label= 0.923553/1
predict case 153 , predict result/given label= 0.288446/1
predict case 154 , predict result/given label= 0.895158/1
predict case 155 , predict result/given label= 0.405146/1
predict case 156 , predict result/given label= 0.896836/1
predict case 157 , predict result/given label= 0.485617/1
predict case 158 , predict result/given label= 0.499200/1
predict case 159 , predict result/given label= 0.753509/1
predict case 160 , predict result/given label= 0.887939/1
predict case 161 , predict result/given label= 0.520156/1
predict case 162 , predict result/given label= 0.323404/1
predict case 163 , predict result/given label= 0.378994/1
predict case 164 , predict result/given label= 0.320775/1
predict case 165 , predict result/given label= 0.296249/1
predict case 166 , predict result/given label= 0.824605/1
predict case 167 , predict result/given label= 0.289689/1
predict case 168 , predict result/given label= 0.820871/1
predict case 169 , predict result/given label= 0.685828/1
predict case 170 , predict result/given label= 0.348169/1
predict case 171 , predict result/given label= 0.925059/1
predict case 172 , predict result/given label= 0.929622/1
predict case 173 , predict result/given label= 0.893369/1
predict case 174 , predict result/given label= 0.916990/1
predict case 175 , predict result/given label= 0.861220/1
predict case 176 , predict result/given label= 0.486779/1
predict case 177 , predict result/given label= 0.483461/1
predict case 178 , predict result/given label= 0.308543/1
predict case 179 , predict result/given label= 0.609444/1
predict case 180 , predict result/given label= 0.868525/1
predict case 181 , predict result/given label= 0.912429/1
predict case 182 , predict result/given label= 0.373899/1
