predict case 0 , predict result/given label= 0.555748/1
predict case 1 , predict result/given label= 0.519298/1
predict case 2 , predict result/given label= 0.507435/1
predict case 3 , predict result/given label= 0.424705/1
predict case 4 , predict result/given label= 0.463455/1
predict case 5 , predict result/given label= 0.708436/1
predict case 6 , predict result/given label= 0.596092/1
predict case 7 , predict result/given label= 0.447637/1
predict case 8 , predict result/given label= 0.449464/1
predict case 9 , predict result/given label= 0.514799/1
predict case 10 , predict result/given label= 0.592320/1
predict case 11 , predict result/given label= 0.473461/1
predict case 12 , predict result/given label= 0.670380/1
predict case 13 , predict result/given label= 0.631015/1
predict case 14 , predict result/given label= 0.526998/1
predict case 15 , predict result/given label= 0.447629/1
predict case 16 , predict result/given label= 0.612022/1
predict case 17 , predict result/given label= 0.739756/1
predict case 18 , predict result/given label= 0.462655/1
predict case 19 , predict result/given label= 0.632938/1
predict case 20 , predict result/given label= 0.491320/1
predict case 21 , predict result/given label= 0.389820/1
predict case 22 , predict result/given label= 0.487778/1
predict case 23 , predict result/given label= 0.444096/1
predict case 24 , predict result/given label= 0.291800/1
predict case 25 , predict result/given label= 0.513693/1
predict case 26 , predict result/given label= 0.726857/1
predict case 27 , predict result/given label= 0.590559/1
predict case 28 , predict result/given label= 0.757168/1
predict case 29 , predict result/given label= 0.587145/1
predict case 30 , predict result/given label= 0.727057/1
predict case 31 , predict result/given label= 0.544961/1
predict case 32 , predict result/given label= 0.477528/1
predict case 33 , predict result/given label= 0.442215/1
predict case 34 , predict result/given label= 0.301596/1
predict case 35 , predict result/given label= 0.626228/1
predict case 36 , predict result/given label= 0.753879/1
predict case 37 , predict result/given label= 0.395031/1
predict case 38 , predict result/given label= 0.476157/1
predict case 39 , predict result/given label= 0.536341/1
predict case 40 , predict result/given label= 0.367749/1
predict case 41 , predict result/given label= 0.503479/1
predict case 42 , predict result/given label= 0.534768/1
predict case 43 , predict result/given label= 0.623731/1
predict case 44 , predict result/given label= 0.572971/1
predict case 45 , predict result/given label= 0.587902/1
predict case 46 , predict result/given label= 0.554109/1
predict case 47 , predict result/given label= 0.740157/1
predict case 48 , predict result/given label= 0.671287/1
predict case 49 , predict result/given label= 0.567965/1
predict case 50 , predict result/given label= 0.533716/1
predict case 51 , predict result/given label= 0.501064/1
predict case 52 , predict result/given label= 0.404510/1
predict case 53 , predict result/given label= 0.453187/1
predict case 54 , predict result/given label= 0.462363/1
predict case 55 , predict result/given label= 0.451849/1
predict case 56 , predict result/given label= 0.362181/1
predict case 57 , predict result/given label= 0.449966/1
predict case 58 , predict result/given label= 0.537088/1
predict case 59 , predict result/given label= 0.599116/1
predict case 60 , predict result/given label= 0.410566/1
predict case 61 , predict result/given label= 0.553360/1
predict case 62 , predict result/given label= 0.618334/1
predict case 63 , predict result/given label= 0.650165/1
predict case 64 , predict result/given label= 0.614754/1
predict case 65 , predict result/given label= 0.427241/1
predict case 66 , predict result/given label= 0.609261/1
predict case 67 , predict result/given label= 0.456335/1
predict case 68 , predict result/given label= 0.452752/1
predict case 69 , predict result/given label= 0.395620/1
predict case 70 , predict result/given label= 0.438626/1
predict case 71 , predict result/given label= 0.549926/1
predict case 72 , predict result/given label= 0.613551/1
predict case 73 , predict result/given label= 0.720094/1
predict case 74 , predict result/given label= 0.652252/1
predict case 75 , predict result/given label= 0.345229/1
predict case 76 , predict result/given label= 0.593438/1
predict case 77 , predict result/given label= 0.607355/1
predict case 78 , predict result/given label= 0.384058/1
predict case 79 , predict result/given label= 0.312868/1
predict case 80 , predict result/given label= 0.653620/1
predict case 81 , predict result/given label= 0.632583/1
predict case 82 , predict result/given label= 0.621589/1
predict case 83 , predict result/given label= 0.616732/1
predict case 84 , predict result/given label= 0.520362/1
predict case 85 , predict result/given label= 0.580424/1
predict case 86 , predict result/given label= 0.476601/1
predict case 87 , predict result/given label= 0.538472/1
predict case 88 , predict result/given label= 0.622096/1
predict case 89 , predict result/given label= 0.655292/1
predict case 90 , predict result/given label= 0.725906/1
predict case 91 , predict result/given label= 0.323432/1
predict case 92 , predict result/given label= 0.595554/1
predict case 93 , predict result/given label= 0.536715/1
predict case 94 , predict result/given label= 0.458906/1
predict case 95 , predict result/given label= 0.374394/1
predict case 96 , predict result/given label= 0.675272/0
predict case 97 , predict result/given label= 0.458643/0
predict case 98 , predict result/given label= 0.534083/0
predict case 99 , predict result/given label= 0.255415/0
predict case 100 , predict result/given label= 0.391416/0
predict case 101 , predict result/given label= 0.579215/0
predict case 102 , predict result/given label= 0.339073/0
predict case 103 , predict result/given label= 0.540938/0
predict case 104 , predict result/given label= 0.490490/0
predict case 105 , predict result/given label= 0.609525/0
predict case 106 , predict result/given label= 0.438829/0
predict case 107 , predict result/given label= 0.528732/0
predict case 108 , predict result/given label= 0.363197/0
predict case 109 , predict result/given label= 0.127995/0
predict case 110 , predict result/given label= 0.639663/0
predict case 111 , predict result/given label= 0.393446/0
predict case 112 , predict result/given label= 0.599973/0
predict case 113 , predict result/given label= 0.354987/0
predict case 114 , predict result/given label= 0.310490/0
predict case 115 , predict result/given label= 0.304323/0
predict case 116 , predict result/given label= 0.433515/0
predict case 117 , predict result/given label= 0.398919/0
predict case 118 , predict result/given label= 0.437287/0
predict case 119 , predict result/given label= 0.609222/0
predict case 120 , predict result/given label= 0.390792/0
predict case 121 , predict result/given label= 0.564288/0
predict case 122 , predict result/given label= 0.611798/0
predict case 123 , predict result/given label= 0.745211/0
predict case 124 , predict result/given label= 0.382979/0
predict case 125 , predict result/given label= 0.396068/0
predict case 126 , predict result/given label= 0.546009/0
predict case 127 , predict result/given label= 0.303308/0
predict case 128 , predict result/given label= 0.540810/0
predict case 129 , predict result/given label= 0.221205/0
predict case 130 , predict result/given label= 0.345102/0
predict case 131 , predict result/given label= 0.218202/0
predict case 132 , predict result/given label= 0.833851/0
predict case 133 , predict result/given label= 0.212549/0
predict case 134 , predict result/given label= 0.482573/0
predict case 135 , predict result/given label= 0.528977/0
predict case 136 , predict result/given label= 0.726657/0
predict case 137 , predict result/given label= 0.521550/0
predict case 138 , predict result/given label= 0.381725/0
predict case 139 , predict result/given label= 0.357747/0
predict case 140 , predict result/given label= 0.602051/0
predict case 141 , predict result/given label= 0.390999/0
predict case 142 , predict result/given label= 0.506072/0
predict case 143 , predict result/given label= 0.555728/0
predict case 144 , predict result/given label= 0.613752/0
predict case 145 , predict result/given label= 0.283633/0
predict case 146 , predict result/given label= 0.653712/0
