predict case 0 , predict result/given label= 0.461031/1
predict case 1 , predict result/given label= 0.208092/1
predict case 2 , predict result/given label= 0.122612/1
predict case 3 , predict result/given label= 0.374823/1
predict case 4 , predict result/given label= 0.179311/1
predict case 5 , predict result/given label= 0.061906/1
predict case 6 , predict result/given label= 0.061627/1
predict case 7 , predict result/given label= 0.058101/1
predict case 8 , predict result/given label= 0.111700/1
predict case 9 , predict result/given label= 0.376227/1
predict case 10 , predict result/given label= 0.836763/1
predict case 11 , predict result/given label= 0.242063/1
predict case 12 , predict result/given label= 0.558474/1
predict case 13 , predict result/given label= 0.137870/1
predict case 14 , predict result/given label= 0.070005/1
predict case 15 , predict result/given label= 0.189098/1
predict case 16 , predict result/given label= 0.202087/1
predict case 17 , predict result/given label= 0.197480/1
predict case 18 , predict result/given label= 0.236597/1
predict case 19 , predict result/given label= 0.115455/1
predict case 20 , predict result/given label= 0.756797/1
predict case 21 , predict result/given label= 0.365676/1
predict case 22 , predict result/given label= 0.349426/1
predict case 23 , predict result/given label= 0.069070/1
predict case 24 , predict result/given label= 0.122556/1
predict case 25 , predict result/given label= 0.835489/1
predict case 26 , predict result/given label= 0.376614/1
predict case 27 , predict result/given label= 0.846067/1
predict case 28 , predict result/given label= 0.803377/1
predict case 29 , predict result/given label= 0.350490/1
predict case 30 , predict result/given label= 0.072509/1
predict case 31 , predict result/given label= 0.736101/1
predict case 32 , predict result/given label= 0.263629/1
predict case 33 , predict result/given label= 0.648192/1
predict case 34 , predict result/given label= 0.723149/1
predict case 35 , predict result/given label= 0.134686/1
predict case 36 , predict result/given label= 0.195019/1
predict case 37 , predict result/given label= 0.524842/1
predict case 38 , predict result/given label= 0.080313/1
predict case 39 , predict result/given label= 0.375359/1
predict case 40 , predict result/given label= 0.194616/1
predict case 41 , predict result/given label= 0.081431/1
predict case 42 , predict result/given label= 0.348996/1
predict case 43 , predict result/given label= 0.051464/1
predict case 44 , predict result/given label= 0.586501/1
predict case 45 , predict result/given label= 0.262892/1
predict case 46 , predict result/given label= 0.062774/1
predict case 47 , predict result/given label= 0.861523/1
predict case 48 , predict result/given label= 0.697603/1
predict case 49 , predict result/given label= 0.222818/1
predict case 50 , predict result/given label= 0.835628/1
predict case 51 , predict result/given label= 0.054908/1
predict case 52 , predict result/given label= 0.070654/1
predict case 53 , predict result/given label= 0.764387/1
predict case 54 , predict result/given label= 0.667853/1
predict case 55 , predict result/given label= 0.386873/1
predict case 56 , predict result/given label= 0.750055/1
predict case 57 , predict result/given label= 0.106698/0
predict case 58 , predict result/given label= 0.066148/0
predict case 59 , predict result/given label= 0.061068/0
predict case 60 , predict result/given label= 0.074136/0
predict case 61 , predict result/given label= 0.073152/0
predict case 62 , predict result/given label= 0.135259/0
predict case 63 , predict result/given label= 0.697880/0
predict case 64 , predict result/given label= 0.662387/0
predict case 65 , predict result/given label= 0.738290/0
predict case 66 , predict result/given label= 0.447309/0
predict case 67 , predict result/given label= 0.658316/0
predict case 68 , predict result/given label= 0.453301/0
predict case 69 , predict result/given label= 0.374613/0
predict case 70 , predict result/given label= 0.583181/0
predict case 71 , predict result/given label= 0.603339/0
predict case 72 , predict result/given label= 0.124498/0
predict case 73 , predict result/given label= 0.121944/0
predict case 74 , predict result/given label= 0.057511/0
predict case 75 , predict result/given label= 0.219396/0
predict case 76 , predict result/given label= 0.733330/0
predict case 77 , predict result/given label= 0.724311/0
predict case 78 , predict result/given label= 0.374167/0
predict case 79 , predict result/given label= 0.835129/0
predict case 80 , predict result/given label= 0.070986/0
predict case 81 , predict result/given label= 0.212866/0
predict case 82 , predict result/given label= 0.056955/0
predict case 83 , predict result/given label= 0.204354/0
predict case 84 , predict result/given label= 0.187084/0
predict case 85 , predict result/given label= 0.072609/0
predict case 86 , predict result/given label= 0.141590/0
predict case 87 , predict result/given label= 0.320395/0
predict case 88 , predict result/given label= 0.373771/0
predict case 89 , predict result/given label= 0.073149/0
predict case 90 , predict result/given label= 0.663588/0
predict case 91 , predict result/given label= 0.063887/0
predict case 92 , predict result/given label= 0.567190/0
predict case 93 , predict result/given label= 0.080059/0
predict case 94 , predict result/given label= 0.349114/0
predict case 95 , predict result/given label= 0.557026/0
predict case 96 , predict result/given label= 0.057675/0
predict case 97 , predict result/given label= 0.225356/0
predict case 98 , predict result/given label= 0.202075/0
predict case 99 , predict result/given label= 0.075725/0
predict case 100 , predict result/given label= 0.061253/0
predict case 101 , predict result/given label= 0.077174/0
predict case 102 , predict result/given label= 0.188641/0
predict case 103 , predict result/given label= 0.069773/0
predict case 104 , predict result/given label= 0.174441/0
predict case 105 , predict result/given label= 0.195481/0
predict case 106 , predict result/given label= 0.450760/0
predict case 107 , predict result/given label= 0.284329/0
predict case 108 , predict result/given label= 0.578934/0
predict case 109 , predict result/given label= 0.075667/0
predict case 110 , predict result/given label= 0.532004/0
predict case 111 , predict result/given label= 0.476650/0
predict case 112 , predict result/given label= 0.626189/0
predict case 113 , predict result/given label= 0.450398/0
