predict case 0 , predict result/given label= 0.391039/1
predict case 1 , predict result/given label= 0.359803/1
predict case 2 , predict result/given label= 0.925966/1
predict case 3 , predict result/given label= 0.607284/1
predict case 4 , predict result/given label= 0.557319/1
predict case 5 , predict result/given label= 0.447746/1
predict case 6 , predict result/given label= 0.728035/1
predict case 7 , predict result/given label= 0.392911/1
predict case 8 , predict result/given label= 0.779807/1
predict case 9 , predict result/given label= 0.663792/1
predict case 10 , predict result/given label= 0.905402/1
predict case 11 , predict result/given label= 0.513103/1
predict case 12 , predict result/given label= 0.924692/1
predict case 13 , predict result/given label= 0.814212/1
predict case 14 , predict result/given label= 0.639390/1
predict case 15 , predict result/given label= 0.829027/1
predict case 16 , predict result/given label= 0.407516/1
predict case 17 , predict result/given label= 0.582154/1
predict case 18 , predict result/given label= 0.295511/1
predict case 19 , predict result/given label= 0.525958/1
predict case 20 , predict result/given label= 0.618869/1
predict case 21 , predict result/given label= 0.444818/1
predict case 22 , predict result/given label= 0.836563/1
predict case 23 , predict result/given label= 0.628929/1
predict case 24 , predict result/given label= 0.600258/1
predict case 25 , predict result/given label= 0.453187/1
predict case 26 , predict result/given label= 0.340111/1
predict case 27 , predict result/given label= 0.776638/1
predict case 28 , predict result/given label= 0.888595/1
predict case 29 , predict result/given label= 0.426220/1
predict case 30 , predict result/given label= 0.557079/1
predict case 31 , predict result/given label= 0.662221/1
predict case 32 , predict result/given label= 0.654838/1
predict case 33 , predict result/given label= 0.867972/1
predict case 34 , predict result/given label= 0.384721/1
predict case 35 , predict result/given label= 0.654904/1
predict case 36 , predict result/given label= 0.349191/1
predict case 37 , predict result/given label= 0.856416/1
predict case 38 , predict result/given label= 0.345852/1
predict case 39 , predict result/given label= 0.522359/1
predict case 40 , predict result/given label= 0.414872/1
predict case 41 , predict result/given label= 0.399525/1
predict case 42 , predict result/given label= 0.340210/1
predict case 43 , predict result/given label= 0.810494/1
predict case 44 , predict result/given label= 0.809779/1
predict case 45 , predict result/given label= 0.611540/1
predict case 46 , predict result/given label= 0.420144/1
predict case 47 , predict result/given label= 0.640760/1
predict case 48 , predict result/given label= 0.801405/1
predict case 49 , predict result/given label= 0.188800/1
predict case 50 , predict result/given label= 0.731809/1
predict case 51 , predict result/given label= 0.582022/1
predict case 52 , predict result/given label= 0.926842/1
predict case 53 , predict result/given label= 0.860598/1
predict case 54 , predict result/given label= 0.717206/1
predict case 55 , predict result/given label= 0.419454/1
predict case 56 , predict result/given label= 0.925807/1
predict case 57 , predict result/given label= 0.328677/1
predict case 58 , predict result/given label= 0.697788/1
predict case 59 , predict result/given label= 0.614505/1
predict case 60 , predict result/given label= 0.878033/1
predict case 61 , predict result/given label= 0.406782/1
predict case 62 , predict result/given label= 0.613187/1
predict case 63 , predict result/given label= 0.585735/1
predict case 64 , predict result/given label= 0.626921/1
predict case 65 , predict result/given label= 0.487162/1
predict case 66 , predict result/given label= 0.361930/1
predict case 67 , predict result/given label= 0.802346/1
predict case 68 , predict result/given label= 0.847647/1
predict case 69 , predict result/given label= 0.794244/1
predict case 70 , predict result/given label= 0.780611/1
predict case 71 , predict result/given label= 0.862443/1
predict case 72 , predict result/given label= 0.741619/1
predict case 73 , predict result/given label= 0.486620/1
predict case 74 , predict result/given label= 0.442471/1
predict case 75 , predict result/given label= 0.738969/1
predict case 76 , predict result/given label= 0.206229/1
predict case 77 , predict result/given label= 0.512174/1
predict case 78 , predict result/given label= 0.656076/1
predict case 79 , predict result/given label= 0.859496/1
predict case 80 , predict result/given label= 0.733429/1
predict case 81 , predict result/given label= 0.860664/1
predict case 82 , predict result/given label= 0.334063/1
predict case 83 , predict result/given label= 0.764563/1
predict case 84 , predict result/given label= 0.293392/1
predict case 85 , predict result/given label= 0.432654/1
predict case 86 , predict result/given label= 0.373330/1
predict case 87 , predict result/given label= 0.696287/1
predict case 88 , predict result/given label= 0.817991/1
predict case 89 , predict result/given label= 0.286858/1
predict case 90 , predict result/given label= 0.686787/1
predict case 91 , predict result/given label= 0.304371/1
predict case 92 , predict result/given label= 0.377923/1
predict case 93 , predict result/given label= 0.836314/1
predict case 94 , predict result/given label= 0.553149/1
predict case 95 , predict result/given label= 0.456795/1
predict case 96 , predict result/given label= 0.883033/1
predict case 97 , predict result/given label= 0.926162/1
predict case 98 , predict result/given label= 0.391203/1
predict case 99 , predict result/given label= 0.831020/1
predict case 100 , predict result/given label= 0.870151/1
predict case 101 , predict result/given label= 0.709029/1
predict case 102 , predict result/given label= 0.701487/1
predict case 103 , predict result/given label= 0.649410/1
predict case 104 , predict result/given label= 0.748654/1
predict case 105 , predict result/given label= 0.664101/1
predict case 106 , predict result/given label= 0.420431/1
predict case 107 , predict result/given label= 0.787322/1
predict case 108 , predict result/given label= 0.299545/1
predict case 109 , predict result/given label= 0.251776/1
predict case 110 , predict result/given label= 0.397713/1
predict case 111 , predict result/given label= 0.850000/1
predict case 112 , predict result/given label= 0.863494/1
predict case 113 , predict result/given label= 0.392333/1
predict case 114 , predict result/given label= 0.689270/1
predict case 115 , predict result/given label= 0.244016/1
predict case 116 , predict result/given label= 0.827785/1
predict case 117 , predict result/given label= 0.787272/1
predict case 118 , predict result/given label= 0.634000/1
predict case 119 , predict result/given label= 0.717338/1
predict case 120 , predict result/given label= 0.392790/1
predict case 121 , predict result/given label= 0.353965/1
predict case 122 , predict result/given label= 0.771654/1
predict case 123 , predict result/given label= 0.285349/1
predict case 124 , predict result/given label= 0.817965/1
predict case 125 , predict result/given label= 0.747193/1
predict case 126 , predict result/given label= 0.753187/1
predict case 127 , predict result/given label= 0.590442/1
predict case 128 , predict result/given label= 0.724628/1
predict case 129 , predict result/given label= 0.613314/1
predict case 130 , predict result/given label= 0.758314/1
predict case 131 , predict result/given label= 0.446961/1
predict case 132 , predict result/given label= 0.854404/1
predict case 133 , predict result/given label= 0.625635/1
predict case 134 , predict result/given label= 0.736883/1
predict case 135 , predict result/given label= 0.181094/1
predict case 136 , predict result/given label= 0.075672/1
predict case 137 , predict result/given label= 0.795497/1
predict case 138 , predict result/given label= 0.439273/1
predict case 139 , predict result/given label= 0.287793/0
predict case 140 , predict result/given label= 0.797371/0
predict case 141 , predict result/given label= 0.441109/0
predict case 142 , predict result/given label= 0.489942/0
predict case 143 , predict result/given label= 0.143332/0
predict case 144 , predict result/given label= 0.373572/0
predict case 145 , predict result/given label= 0.583762/0
predict case 146 , predict result/given label= 0.386380/0
predict case 147 , predict result/given label= 0.286645/0
predict case 148 , predict result/given label= 0.275509/0
predict case 149 , predict result/given label= 0.625237/0
predict case 150 , predict result/given label= 0.126359/0
predict case 151 , predict result/given label= 0.181167/0
predict case 152 , predict result/given label= 0.616060/0
predict case 153 , predict result/given label= 0.431879/0
predict case 154 , predict result/given label= 0.401991/0
predict case 155 , predict result/given label= 0.337614/0
predict case 156 , predict result/given label= 0.402678/0
predict case 157 , predict result/given label= 0.440198/0
predict case 158 , predict result/given label= 0.251842/0
predict case 159 , predict result/given label= 0.335664/0
predict case 160 , predict result/given label= 0.369647/0
predict case 161 , predict result/given label= 0.170488/0
predict case 162 , predict result/given label= 0.430142/0
predict case 163 , predict result/given label= 0.278582/0
predict case 164 , predict result/given label= 0.247513/0
predict case 165 , predict result/given label= 0.299477/0
predict case 166 , predict result/given label= 0.497205/0
predict case 167 , predict result/given label= 0.543476/0
predict case 168 , predict result/given label= 0.233479/0
predict case 169 , predict result/given label= 0.482667/0
predict case 170 , predict result/given label= 0.441793/0
predict case 171 , predict result/given label= 0.188409/0
predict case 172 , predict result/given label= 0.398929/0
predict case 173 , predict result/given label= 0.315202/0
predict case 174 , predict result/given label= 0.261037/0
predict case 175 , predict result/given label= 0.293135/0
predict case 176 , predict result/given label= 0.464848/0
predict case 177 , predict result/given label= 0.464273/0
predict case 178 , predict result/given label= 0.436309/0
predict case 179 , predict result/given label= 0.591072/0
predict case 180 , predict result/given label= 0.383188/0
predict case 181 , predict result/given label= 0.478078/0
predict case 182 , predict result/given label= 0.257384/0
predict case 183 , predict result/given label= 0.244976/0
predict case 184 , predict result/given label= 0.265193/0
predict case 185 , predict result/given label= 0.285506/0
predict case 186 , predict result/given label= 0.482877/0
predict case 187 , predict result/given label= 0.440855/0
predict case 188 , predict result/given label= 0.634714/0
predict case 189 , predict result/given label= 0.417132/0
predict case 190 , predict result/given label= 0.447994/0
predict case 191 , predict result/given label= 0.239252/0
predict case 192 , predict result/given label= 0.368779/0
predict case 193 , predict result/given label= 0.402379/0
predict case 194 , predict result/given label= 0.201313/0
predict case 195 , predict result/given label= 0.552707/0
predict case 196 , predict result/given label= 0.251027/0
predict case 197 , predict result/given label= 0.075686/0
predict case 198 , predict result/given label= 0.618830/0
predict case 199 , predict result/given label= 0.541106/0
predict case 200 , predict result/given label= 0.241301/0
predict case 201 , predict result/given label= 0.484989/0
predict case 202 , predict result/given label= 0.278050/0
predict case 203 , predict result/given label= 0.153203/0
predict case 204 , predict result/given label= 0.326997/0
predict case 205 , predict result/given label= 0.307534/0
predict case 206 , predict result/given label= 0.277372/0
predict case 207 , predict result/given label= 0.257388/0
predict case 208 , predict result/given label= 0.302182/0
predict case 209 , predict result/given label= 0.151224/0
predict case 210 , predict result/given label= 0.245774/0
predict case 211 , predict result/given label= 0.145289/0
predict case 212 , predict result/given label= 0.251019/0
predict case 213 , predict result/given label= 0.553125/0
predict case 214 , predict result/given label= 0.400279/0
predict case 215 , predict result/given label= 0.386781/0
predict case 216 , predict result/given label= 0.249326/0
predict case 217 , predict result/given label= 0.285884/0
predict case 218 , predict result/given label= 0.230172/0
