predict case 0 , predict result/given label= 0.335104/1
predict case 1 , predict result/given label= 0.919031/1
predict case 2 , predict result/given label= 0.338207/1
predict case 3 , predict result/given label= 0.492833/1
predict case 4 , predict result/given label= 0.362624/1
predict case 5 , predict result/given label= 0.868915/1
predict case 6 , predict result/given label= 0.797605/1
predict case 7 , predict result/given label= 0.338078/1
predict case 8 , predict result/given label= 0.246753/1
predict case 9 , predict result/given label= 0.925149/1
predict case 10 , predict result/given label= 0.452141/1
predict case 11 , predict result/given label= 0.319950/1
predict case 12 , predict result/given label= 0.815936/1
predict case 13 , predict result/given label= 0.462651/1
predict case 14 , predict result/given label= 0.837640/1
predict case 15 , predict result/given label= 0.909510/1
predict case 16 , predict result/given label= 0.351537/1
predict case 17 , predict result/given label= 0.789967/1
predict case 18 , predict result/given label= 0.355020/1
predict case 19 , predict result/given label= 0.337654/1
predict case 20 , predict result/given label= 0.916583/1
predict case 21 , predict result/given label= 0.810910/1
predict case 22 , predict result/given label= 0.424500/1
predict case 23 , predict result/given label= 0.929990/1
predict case 24 , predict result/given label= 0.493006/1
predict case 25 , predict result/given label= 0.837611/1
predict case 26 , predict result/given label= 0.712225/1
predict case 27 , predict result/given label= 0.547003/1
predict case 28 , predict result/given label= 0.373091/1
predict case 29 , predict result/given label= 0.931785/1
predict case 30 , predict result/given label= 0.373091/1
predict case 31 , predict result/given label= 0.840460/1
predict case 32 , predict result/given label= 0.687864/1
predict case 33 , predict result/given label= 0.860415/1
predict case 34 , predict result/given label= 0.811406/1
predict case 35 , predict result/given label= 0.593461/1
predict case 36 , predict result/given label= 0.926636/1
predict case 37 , predict result/given label= 0.908103/1
predict case 38 , predict result/given label= 0.306814/1
predict case 39 , predict result/given label= 0.932050/1
predict case 40 , predict result/given label= 0.930088/1
predict case 41 , predict result/given label= 0.306370/1
predict case 42 , predict result/given label= 0.225845/1
predict case 43 , predict result/given label= 0.655291/1
predict case 44 , predict result/given label= 0.223813/1
predict case 45 , predict result/given label= 0.636366/1
predict case 46 , predict result/given label= 0.434512/1
predict case 47 , predict result/given label= 0.377435/1
predict case 48 , predict result/given label= 0.800785/1
predict case 49 , predict result/given label= 0.508944/1
predict case 50 , predict result/given label= 0.931183/1
predict case 51 , predict result/given label= 0.932342/1
predict case 52 , predict result/given label= 0.916262/1
predict case 53 , predict result/given label= 0.635717/1
predict case 54 , predict result/given label= 0.199648/1
predict case 55 , predict result/given label= 0.283744/1
predict case 56 , predict result/given label= 0.372043/1
predict case 57 , predict result/given label= 0.812949/1
predict case 58 , predict result/given label= 0.920160/1
predict case 59 , predict result/given label= 0.809934/1
predict case 60 , predict result/given label= 0.407855/1
predict case 61 , predict result/given label= 0.787422/1
predict case 62 , predict result/given label= 0.251795/1
predict case 63 , predict result/given label= 0.929364/1
predict case 64 , predict result/given label= 0.928542/1
predict case 65 , predict result/given label= 0.743969/1
predict case 66 , predict result/given label= 0.925385/1
predict case 67 , predict result/given label= 0.890023/1
predict case 68 , predict result/given label= 0.230550/1
predict case 69 , predict result/given label= 0.530147/1
predict case 70 , predict result/given label= 0.478692/1
predict case 71 , predict result/given label= 0.373091/1
predict case 72 , predict result/given label= 0.926816/1
predict case 73 , predict result/given label= 0.902432/1
predict case 74 , predict result/given label= 0.855394/1
predict case 75 , predict result/given label= 0.356503/1
predict case 76 , predict result/given label= 0.788563/1
predict case 77 , predict result/given label= 0.888670/1
predict case 78 , predict result/given label= 0.338647/1
predict case 79 , predict result/given label= 0.888685/1
predict case 80 , predict result/given label= 0.821887/1
predict case 81 , predict result/given label= 0.855134/1
predict case 82 , predict result/given label= 0.447112/1
predict case 83 , predict result/given label= 0.886382/1
predict case 84 , predict result/given label= 0.928176/1
predict case 85 , predict result/given label= 0.334625/1
predict case 86 , predict result/given label= 0.434653/1
predict case 87 , predict result/given label= 0.456627/1
predict case 88 , predict result/given label= 0.314812/1
predict case 89 , predict result/given label= 0.420966/1
predict case 90 , predict result/given label= 0.488287/1
predict case 91 , predict result/given label= 0.349462/1
predict case 92 , predict result/given label= 0.281487/1
predict case 93 , predict result/given label= 0.881377/1
predict case 94 , predict result/given label= 0.680588/1
predict case 95 , predict result/given label= 0.454510/1
predict case 96 , predict result/given label= 0.849159/1
predict case 97 , predict result/given label= 0.812576/1
predict case 98 , predict result/given label= 0.429280/1
predict case 99 , predict result/given label= 0.871185/1
predict case 100 , predict result/given label= 0.933369/1
predict case 101 , predict result/given label= 0.490253/1
predict case 102 , predict result/given label= 0.924592/1
predict case 103 , predict result/given label= 0.905388/1
predict case 104 , predict result/given label= 0.754764/1
predict case 105 , predict result/given label= 0.796524/1
predict case 106 , predict result/given label= 0.694845/1
predict case 107 , predict result/given label= 0.768053/1
predict case 108 , predict result/given label= 0.441973/1
predict case 109 , predict result/given label= 0.831500/1
predict case 110 , predict result/given label= 0.535520/1
predict case 111 , predict result/given label= 0.545368/1
predict case 112 , predict result/given label= 0.850614/1
predict case 113 , predict result/given label= 0.899304/1
predict case 114 , predict result/given label= 0.799845/1
predict case 115 , predict result/given label= 0.704672/1
predict case 116 , predict result/given label= 0.274305/1
predict case 117 , predict result/given label= 0.410453/1
predict case 118 , predict result/given label= 0.336304/1
predict case 119 , predict result/given label= 0.929747/1
predict case 120 , predict result/given label= 0.833059/1
predict case 121 , predict result/given label= 0.927399/1
predict case 122 , predict result/given label= 0.231682/1
predict case 123 , predict result/given label= 0.608430/1
predict case 124 , predict result/given label= 0.891909/1
predict case 125 , predict result/given label= 0.837293/1
predict case 126 , predict result/given label= 0.588838/1
predict case 127 , predict result/given label= 0.845131/1
predict case 128 , predict result/given label= 0.408927/1
predict case 129 , predict result/given label= 0.875554/1
predict case 130 , predict result/given label= 0.202459/1
predict case 131 , predict result/given label= 0.415010/1
predict case 132 , predict result/given label= 0.336520/1
predict case 133 , predict result/given label= 0.261180/1
predict case 134 , predict result/given label= 0.396591/1
predict case 135 , predict result/given label= 0.929584/1
predict case 136 , predict result/given label= 0.440099/1
predict case 137 , predict result/given label= 0.729069/1
predict case 138 , predict result/given label= 0.326117/1
predict case 139 , predict result/given label= 0.282904/1
predict case 140 , predict result/given label= 0.265819/1
predict case 141 , predict result/given label= 0.348643/1
predict case 142 , predict result/given label= 0.925794/1
predict case 143 , predict result/given label= 0.784989/1
predict case 144 , predict result/given label= 0.764948/1
predict case 145 , predict result/given label= 0.844989/1
predict case 146 , predict result/given label= 0.762474/1
predict case 147 , predict result/given label= 0.489453/1
predict case 148 , predict result/given label= 0.930088/1
predict case 149 , predict result/given label= 0.897361/1
predict case 150 , predict result/given label= 0.924499/1
predict case 151 , predict result/given label= 0.284854/1
predict case 152 , predict result/given label= 0.789547/1
predict case 153 , predict result/given label= 0.793032/1
predict case 154 , predict result/given label= 0.383004/1
predict case 155 , predict result/given label= 0.827398/1
predict case 156 , predict result/given label= 0.265103/1
